symbol,date,period,eps,src
AIE,2024-03-31,2024Q1,0.023,yahoo_income
AIMCG,2025-06-30,2025Q2,-0.031017,yahoo_income
AIMCG,2025-03-31,2025Q1,-0.018304,yahoo_income
AIMCG,2024-09-30,2024Q3,0.110522,yahoo_income
AIMCG,2024-06-30,2024Q2,0.085383,yahoo_income
AIMCG,2024-03-31,2024Q1,0.216093,yahoo_income
AIMIRT,2025-06-30,2025Q2,0.218965,yahoo_income
AIMIRT,2025-03-31,2025Q1,0.204731,yahoo_income
AIMIRT,2024-09-30,2024Q3,0.188883,yahoo_income
AIMIRT,2024-06-30,2024Q2,0.425157,yahoo_income
AIMIRT,2024-03-31,2024Q1,0.202238,yahoo_income
AIRA,2025-06-30,2025Q2,-0.0058,yahoo_income
AIRA,2025-03-31,2025Q1,-0.0054,yahoo_income
AIRA,2024-09-30,2024Q3,-0.0079,yahoo_income
AIRA,2024-06-30,2024Q2,-0.0085,yahoo_income
AIRA,2024-03-31,2024Q1,-0.0029,yahoo_income
AIT,2025-06-30,2025Q2,0.09,yahoo_income
AIT,2025-03-31,2025Q1,0.093,yahoo_income
AIT,2024-09-30,2024Q3,0.1,yahoo_income
AIT,2024-06-30,2024Q2,0.09,yahoo_income
AIT,2024-03-31,2024Q1,0.087,yahoo_income
AJ,2025-06-30,2025Q2,-0.32,yahoo_income
AJ,2025-03-31,2025Q1,-0.028,yahoo_income
AJ,2024-09-30,2024Q3,-0.28,yahoo_income
AJ,2024-06-30,2024Q2,-0.2,yahoo_income
AJ,2024-03-31,2024Q1,0.026,yahoo_income
AJA,2025-06-30,2025Q2,-0.004,yahoo_income
AJA,2025-03-31,2025Q1,-0.007,yahoo_income
AJA,2024-09-30,2024Q3,-0.009,yahoo_income
AJA,2024-06-30,2024Q2,-0.007,yahoo_income
AJA,2024-03-31,2024Q1,0.004,yahoo_income
AKP,2025-06-30,2025Q2,0.021,yahoo_income
AKP,2025-03-31,2025Q1,0.008,yahoo_income
AKP,2024-09-30,2024Q3,0.029,yahoo_income
AKP,2024-06-30,2024Q2,0.033,yahoo_income
AKP,2024-03-31,2024Q1,0.004,yahoo_income
AKR,2025-06-30,2025Q2,0.013,yahoo_income
AKR,2025-03-31,2025Q1,0.062,yahoo_income
