symbol,period,eps
ALUCON,2025Q3,
ALUCON,2025Q2,8.23
ALUCON,2025Q1,6.37
ALUCON,2024Q4,5.01
ALUCON,2024Q3,1.07
AMA,2025Q4,
AMA,2025Q3,
AMA,2025Q2,0.12
AMA,2025Q1,0.13
AMA,2024Q4,0.2
AMA,2024Q3,0.12
AMANAH,2025Q4,
AMANAH,2025Q3,
AMANAH,2025Q2,-0.04
AMANAH,2025Q1,0.0
AMANAH,2024Q4,0.02
AMANAH,2024Q3,0.01
AMARC,2025Q4,
AMARC,2025Q3,
AMARC,2025Q2,0.18
AMARC,2025Q1,0.06
AMARC,2024Q4,0.02
AMARC,2024Q3,0.04
AMARIN,2025Q4,
AMARIN,2025Q3,
AMARIN,2025Q2,-0.04
AMARIN,2025Q1,-0.04
AMARIN,2024Q4,0.04
AMARIN,2024Q3,0.0
AMATA,2025Q4,
AMATA,2025Q3,
AMATA,2025Q2,0.12
AMATA,2025Q1,0.72
AMATA,2024Q4,0.89
AMATA,2024Q3,0.67
AMATAR,2025Q4,
AMATAR,2025Q3,
AMATAR,2025Q2,0.224818
AMATAR,2025Q1,0.204462
AMATAR,2024Q4,
AMATAR,2024Q3,0.200489
AMATAV,2025Q4,
AMATAV,2025Q3,
AMATAV,2025Q2,0.07
AMATAV,2025Q1,0.01
AMATAV,2024Q4,0.14
AMATAV,2024Q3,-0.13
AMC,2025Q4,
AMC,2025Q3,
AMC,2025Q2,0.02
AMC,2025Q1,0.06
AMC,2024Q4,-0.16
AMC,2024Q3,0.02
AMR,2025Q4,
AMR,2025Q3,
AMR,2025Q2,-0.08
AMR,2025Q1,-0.06
AMR,2024Q4,-0.12
AMR,2024Q3,-0.01
ANAN,2025Q4,
ANAN,2025Q3,
ANAN,2025Q2,0.04
ANAN,2025Q1,-0.08
ANAN,2024Q4,-0.02
ANAN,2024Q3,-0.01
ANI,2025Q4,
ANI,2025Q3,
ANI,2025Q2,0.07
ANI,2025Q1,0.07
ANI,2024Q4,0.08
ANI,2024Q3,0.1
AOT,2025Q4,
AOT,2025Q3,0.27
AOT,2025Q2,0.35
AOT,2025Q1,0.37
AOT,2024Q4,0.3
AOT,2024Q3,0.32
AP,2025Q4,
AP,2025Q3,
AP,2025Q2,0.32
AP,2025Q1,0.27
AP,2024Q4,0.42
AP,2024Q3,0.46
APCO,2025Q4,
APCO,2025Q3,
APCO,2025Q2,0.02
APCO,2025Q1,0.02
APCO,2024Q4,0.02
APCO,2024Q3,0.02
APCS,2025Q4,
APCS,2025Q3,
APCS,2025Q2,-0.08
APCS,2025Q1,-0.08
APCS,2024Q4,-0.1
APCS,2024Q3,-0.04
APO,2025Q4,
APO,2025Q3,
APO,2025Q2,0.41
APO,2025Q1,-0.04
APO,2024Q4,-0.02
APO,2024Q3,0.14
APP,2025Q4,
APP,2025Q3,
APP,2025Q2,0.07
APP,2025Q1,0.13
APP,2024Q4,0.1
APP,2024Q3,0.09
APURE,2025Q4,
APURE,2025Q3,
APURE,2025Q2,-0.04
APURE,2025Q1,0.06
APURE,2024Q4,0.1
APURE,2024Q3,0.05
AQUA,2025Q4,
AQUA,2025Q3,
AQUA,2025Q2,-0.06
AQUA,2025Q1,-0.02
AQUA,2024Q4,-0.11
AQUA,2024Q3,-0.06
ARIN,2025Q4,
ARIN,2025Q3,
ARIN,2025Q2,-0.02
ARIN,2025Q1,-0.02
ARIN,2024Q4,0.0
ARIN,2024Q3,-0.02
ARIP,2025Q4,
ARIP,2025Q3,
ARIP,2025Q2,0.01
ARIP,2025Q1,0.0
ARIP,2024Q4,0.01
ARIP,2024Q3,0.0
ARROW,2025Q4,
ARROW,2025Q3,
ARROW,2025Q2,0.13
ARROW,2025Q1,0.15
ARROW,2024Q4,0.07
ARROW,2024Q3,0.17
AS,2025Q4,
AS,2025Q3,
AS,2025Q2,0.04
AS,2025Q1,0.08
AS,2024Q4,0.05
AS,2024Q3,0.08
ASAP,2025Q4,
ASAP,2025Q3,
ASAP,2025Q2,0.01
ASAP,2025Q1,0.02
ASAP,2024Q4,-0.06
ASAP,2024Q3,-0.05
ASEFA,2025Q4,
ASEFA,2025Q3,
ASEFA,2025Q2,0.04
ASEFA,2025Q1,0.08
ASEFA,2024Q4,0.1
ASEFA,2024Q3,0.04
ASIA,2025Q4,
ASIA,2025Q3,
ASIA,2025Q2,-0.05
ASIA,2025Q1,0.05
ASIA,2024Q4,0.01
ASIA,2024Q3,-0.01
ASIAN,2025Q4,
ASIAN,2025Q3,
ASIAN,2025Q2,0.2
ASIAN,2025Q1,0.25
ASIAN,2024Q4,0.14
ASIAN,2024Q3,0.29
ASIMAR,2025Q4,
ASIMAR,2025Q3,
ASIMAR,2025Q2,0.05
ASIMAR,2025Q1,0.03
