symbol,sector,last_price,eps_ttm,g_base,fcf_ttm,fcf_mode,terminal_method,exit_multiple_used,shares,equity_last,roe_ttm,ebitda_ttm,net_debt,minority_interest,model,coe,wacc,terminal_pe_used,intrinsic,intrinsic_s_bull,intrinsic_s_base,intrinsic_s_bear,upside_pct,flags
ACOG,Healthcare,8.5,-1.3800000000000001,0.3,-30365620.0,fcfe,,,21774104.0,,,-26964135.0,-53336812.0,,eps_dcf,0.17397499984741213,0.15380374987030032,15.0,,,,,,eps<=0_block|no_intrinsic
ACON,Healthcare,2.5799999237060547,-16.34,-0.3,-7470226.0,fcfe,,,2462250.0,,,-7949986.0,-19004976.0,,eps_dcf,0.11197000129699708,0.10109950110244752,15.0,,,,,,eps<=0_block|no_intrinsic
ACRE,Real Estate,4.619999885559082,-0.36000000000000004,0.3,-45414000.0,fcfe,,,55481113.0,,,,1185471000.0,,eps_dcf,0.11219000129699708,0.08674850084304811,15.0,,,,,,eps<=0_block|no_intrinsic
ACRS,Healthcare,5.679999828338623,-0.56,0.29216024555669384,-53139000.0,fcfe,,,139663680.0,,,-78055000.0,-28660000.0,,eps_dcf,0.08793500129699708,0.08066975110244752,15.0,,,,,,eps<=0_block|no_intrinsic
ACT,Financial Services,46.52000045776367,4.61,-0.10459104124115726,,fcfe,,,139600745.0,,,,195813000.0,,eps_dcf,0.08,0.08,15.0,41.274888899359425,56.02076897968293,40.690363733961846,28.28258431522867,-11.27496024675747,
ACTG,Industrials,4.539999961853027,-0.18,0.3,50672000.0,fcfe,,,96589132.0,,,31186000.0,-204246000.0,38722000.0,eps_dcf,0.08,0.08,15.0,,,,,,eps<=0_block|no_intrinsic
ACTU,Healthcare,1.440000057220459,-1.11,-0.3,,fcfe,,,23925852.0,,,-21516328.0,-8134004.0,,eps_dcf,0.10064000129699707,0.0914690011024475,15.0,,,,,,eps<=0_block|no_intrinsic
ACVA,Consumer Cyclical,7.449999809265137,-0.35,0.0462352251649909,42107000.0,fcfe,,,174584894.0,,,-5067000.0,-140970000.0,,eps_dcf,0.14552000129699708,0.11901500097274781,15.0,,,,,,eps<=0_block|no_intrinsic
ACXP,Healthcare,1.5499999523162842,-5.890000000000001,-0.3,,fcfe,,,4297738.0,,,-7631490.0,-9254813.0,,eps_dcf,0.08,0.08,15.0,,,,,,eps<=0_block|no_intrinsic
ADBE,Technology,237.25,17.48,-0.0936263350032589,10280000000.0,fcfe,,,397500000.0,,,10131000000.0,2146000000.0,,eps_dcf,0.12445500129699708,0.1117117511024475,15.0,140.52280554312676,194.8330537357506,137.14792718406207,96.337192427697,-40.770155724709475,
ADGM,Healthcare,0.5299999713897705,-1.5300000000000002,-0.3,-16796000.0,fcfe,,,22210459.0,,,-20435000.0,11180000.0,,eps_dcf,0.08,0.08,15.0,,,,,,eps<=0_block|no_intrinsic
ADI,Technology,375.3599853515625,6.7299999999999995,-0.3,4565150000.0,fcfe,,,487087040.0,,,6227091000.0,6247933000.0,,eps_dcf,0.11098000129699706,0.1002580011024475,15.0,21.707465314667413,29.054684104471207,20.349118771603013,18.43528615405683,-94.21689413847984,
ADMA,Healthcare,8.710000038146973,0.68,-0.3,107553000.0,fcfe,,,231772715.0,,,221535000.0,66253000.0,,eps_dcf,0.08562500129699707,0.08,15.0,2.375968557373056,3.162859546467763,2.2336055855882337,2.0161664836328157,-72.72137144699099,
ADP,Technology,255.27000427246094,10.72,-0.14131841950096558,4840600000.0,fcfe,,,399734282.0,,,6699500000.0,1067100000.0,,eps_dcf,0.09189500129699707,0.0840357511024475,15.0,77.94734247422167,108.90122465796232,75.96465669688396,52.94151762249417,-69.46474667230191,
ADSK,Technology,218.35000610351562,6.86,-0.3,2694000000.0,fcfe,,,211145251.0,,,2225000000.0,53000000.0,,eps_dcf,0.11813000129699708,0.10633550110244751,15.0,21.6205697883904,28.888471652335042,20.27567735504773,18.387345224473762,-90.09820509089407,
ADT,Industrials,7.0,0.7,-0.15480925635468956,1495227000.0,fcfe,,,733247289.0,,,2677720000.0,7549536000.0,,eps_dcf,0.10190500129699706,0.08630375097274778,15.0,4.597139062031827,6.413222737016909,4.480448563202948,3.1311268835333808,-34.32658482811676,
