symbol,sector,last_price,eps_ttm,g_base,fcf_ttm,fcf_mode,terminal_method,exit_multiple_used,shares,equity_last,roe_ttm,ebitda_ttm,net_debt,minority_interest,model,coe,wacc,terminal_pe_used,intrinsic,intrinsic_s_bull,intrinsic_s_base,intrinsic_s_bear,upside_pct,flags
AI,Industrials,2.859999895095825,0.14900000000000002,0.3,115443195.0,fcff,exit,8.0,699999021.0,,,230505792.0,-368926000.0,864331000.0,fcf_dcf,0.08,0.08,,1.9687102032834032,2.2161482571849156,1.9687102032834032,1.721272149381891,-31.163976381284414,
AIE,Consumer Defensive,1.1100000143051147,0.053,-0.3,90516369.0,fcff,exit,8.0,1384014009.0,,,193220973.0,-333108000.0,,fcf_dcf,0.1,0.09120000000000002,,1.3060267724707089,1.4056573965970305,1.3060267724707089,1.2063961483443875,17.660068075612713,
AIMCG,Real Estate,1.3600000143051147,-0.059958,0.3,,fcff,exit,8.0,288000000.0,,,-147194265.0,215377899.0,,fcf_dcf,0.08,0.08,,,,,,,no_intrinsic
AIMIRT,Real Estate,11.5,0.844804,-0.12914986367365744,,fcff,exit,8.0,791500104.0,,,893142981.0,4699022000.0,,fcf_dcf,0.08,0.08,,,,,,,no_intrinsic
AIRA,Financial Services,0.9900000095367432,-0.017255,-0.3,863137452.0,fcff,exit,8.0,6314878533.0,,,378035305.0,3807123000.0,972214000.0,fcf_dcf,0.08,0.08,,0.18063385035859406,0.2256169565174574,0.18063385035859403,0.1356507441997308,-81.7541567051985,pe<0
AIT,Technology,4.699999809265137,0.376893,0.04323706047587894,1042019340.0,fcff,exit,8.0,1536415572.0,,,946995826.0,-2368387000.0,1524000.0,fcf_dcf,0.08,0.08,,8.111760669248438,8.574910432048064,8.111760669248438,7.648610906448813,72.59065954125525,
AJ,Consumer Cyclical,2.9600000381469727,-0.7950000000000002,0.056723716909103716,101535236.0,fcff,exit,8.0,596498177.0,,,139650336.0,7783339000.0,493087000.0,fcf_dcf,0.08,0.08,,-11.748339608388694,-11.57241971806302,-11.748339608388696,-11.92425949871437,-496.9033600331783,pe<0
AJA,Technology,0.12999999523162842,-0.02,-0.3,-33402844.0,fcff,exit,8.0,5743212607.0,,,-55414904.0,4753000.0,-4374000.0,fcf_dcf,0.08,0.08,,-0.08264604781976577,-0.0898963110240587,-0.08264604781976576,-0.07539578461547285,-163.57388527015758,pe<0
AKP,Industrials,0.7099999785423279,0.14600000000000002,-0.3,69079348.0,fcff,exit,8.0,404000000.0,,,134281224.0,-85115000.0,,fcf_dcf,0.08815,0.0801125,,2.9300483258159975,3.1796743296171988,2.9300483258159975,2.680422322014796,312.6828752631177,upside>300%
AKR,Industrials,0.9200000166893005,0.082,0.3,173568702.0,fcff,exit,8.0,1471897693.0,,,213999414.0,-268959047.0,1406441.0,fcf_dcf,0.08,0.08,,1.5540880338462448,1.6633369258024904,1.5540880338462448,1.4448391418899988,68.92260931024379,
AKS,Real Estate,0.009999999776482582,-0.2136,-0.3,323704000.0,fcff,exit,8.0,4073299779.0,,,-2209787000.0,746404000.0,0.0,fcf_dcf,0.08,0.08,,-3.108603652348874,-3.516252409013273,-3.1086036523488736,-2.7009548956844744,-31186.037218315818,pe<0
ALLA,Industrials,1.149999976158142,0.126,0.3,92924559.0,fcff,exit,8.0,600000000.0,,,100403557.0,-345887000.0,1000.0,fcf_dcf,0.1,0.08900000000000001,,2.18056134735117,2.3011924530305987,2.18056134735117,2.059930241671741,89.61403413553727,
ALLY,Real Estate,4.699999809265137,0.791619,-0.2687565133338795,,fcff,exit,8.0,874100000.0,,,834588391.0,4012000000.0,,fcf_dcf,0.08,0.08,,,,,,,no_intrinsic
ALPHAX,Real Estate,0.27000001072883606,0.022843000000000002,0.3,111010398.0,fcff,exit,8.0,9292374138.0,,,409326855.0,-3226815000.0,42670000.0,fcf_dcf,0.08,0.08,,0.6579447606457375,0.6910445806867415,0.6579447606457375,0.6248449406047333,143.6832350005047,
ALT,Technology,1.6299999952316284,0.095,-0.18549375000000057,92964712.0,fcff,exit,8.0,1113944019.0,,,422121476.0,667322106.0,119236.0,fcf_dcf,0.08,0.08,,2.031463479559852,2.31620851666902,2.031463479559852,1.7467184424506839,24.629661687279583,
ALUCON,Basic Materials,232.0,27.16,-0.3,531269560.0,fcff,exit,8.0,43199986.0,,,1306673633.0,-1420852000.0,,fcf_dcf,0.08,0.08,,266.685427815049,289.4136571542758,266.685427815049,243.95719847582222,14.950615437521131,
AMA,Industrials,3.799999952316284,0.4,0.3,587196825.4399999,fcff,exit,8.0,517916773.0,,,672109316.44,536342203.88000005,81187381.01,fcf_dcf,0.08,0.08,,11.399859377933385,12.37498826183912,11.399859377933385,10.424730494027651,199.9963031837571,
AMANAH,Financial Services,0.6700000166893005,-0.10400000000000001,0.3,332186307.0,fcff,exit,8.0,1184121871.0,,,-276710405.0,1634439257.0,,fcf_dcf,0.08,0.08,,-1.599550890759358,-1.775145495854581,-1.599550890759358,-1.423956285664135,-338.7389329724627,pe<0
