symbol,sector,last_price
CMC,Real Estate,0.4300000071525574
CMO,Communication Services,0.7699999809265137
CMR,Healthcare,1.2799999713897705
CNT,Industrials,1.6299999952316284
COCOCO,Consumer Defensive,5.800000190734863
COLOR,Basic Materials,1.0
COM7,Consumer Cyclical,29.5
COMAN,Technology,0.5
CPALL,Consumer Defensive,46.75
CPANEL,Basic Materials,1.1799999475479126
CPAXT,Consumer Defensive,14.899999618530273
CPF,Consumer Defensive,22.200000762939453
CPH,Consumer Cyclical,7.75
CPI,Consumer Defensive,3.5199999809265137
CPL,Consumer Cyclical,0.699999988079071
CPN,Real Estate,67.0
CPNREIT,Real Estate,13.100000381469727
CPR,Consumer Cyclical,2.619999885559082
CPT,Industrials,1.0
CPW,Technology,2.380000114440918
CRANE,Industrials,0.3799999952316284
CRC,Consumer Cyclical,23.200000762939453
CRD,Industrials,0.5799999833106995
CREDIT,Financial Services,23.700000762939453
CSC,Consumer Cyclical,44.25
CSP,Basic Materials,0.4000000059604645
CSR,Consumer Cyclical,71.75
CSS,Technology,1.0
CTW,Industrials,6.699999809265137
CWT,Industrials,0.9399999976158142
D,Healthcare,3.0999999046325684
DCC,Industrials,1.4600000381469727
DCON,Basic Materials,0.1899999976158142
DDD,Consumer Defensive,5.099999904632568
DELTA,Industrials,313.0
DEMCO,Industrials,3.7799999713897705
DEXON,Energy,0.7900000214576721
DHOUSE,Real Estate,0.3499999940395355
DIMET,Basic Materials,0.07000000029802322
DITTO,Technology,15.600000381469727
DMT,Industrials,12.0
DOD,Consumer Defensive,1.159999966621399
DOHOME,Consumer Cyclical,3.8399999141693115
DPAINT,Basic Materials,0.25999999046325684
DREIT,Real Estate,4.920000076293945
DRT,Industrials,5.150000095367432
DTCENT,Technology,0.949999988079071
DTCI,Industrials,17.299999237060547
DUSIT,Consumer Cyclical,11.5
EA,Utilities,3.059999942779541
EASON,Basic Materials,1.149999976158142
EAST,Financial Services,0.7300000190734863
EASTW,Utilities,4.739999771118164
ECF,Consumer Cyclical,0.10000000149011612
EFORL,Healthcare,0.12999999523162842
EGCO,Utilities,126.5
EKH,Healthcare,5.050000190734863
EMC,Industrials,0.019999999552965164
EMPIRE,Industrials,0.20000000298023224
EP,Industrials,1.1799999475479126
EPG,Basic Materials,6.099999904632568
ERW,Consumer Cyclical,3.0399999618530273
ESTAR,Real Estate,0.20999999344348907
ETC,Utilities,0.6899999976158142
ETE,Industrials,0.5699999928474426
ETL,Industrials,0.4000000059604645
EURO,Consumer Cyclical,5.900000095367432
EVER,Real Estate,0.07000000029802322
FANCY,Consumer Cyclical,0.25
FE,Communication Services,160.5
FLOYD,Industrials,1.0299999713897705
