symbol,sector,last_price,intrinsic_value,margin_%,dividend_ttm,dividend_yield_%,total_return_with_div_%,pt_mean,pt_median,pt_high,pt_low,pt_count,rec_mean,last_update,source
BR,Technology,226.05999755859372,97.13817245379398,-57.0299152867078,3.615,1.599132990817187,-86.7059241839579,269.375,269.0,305.0,240.0,8.0,2.44444,1970-01-01,yfinance.info/recommendations
BRBR,Consumer Defensive,26.959999084472656,14.99690898042332,-44.37348112129336,,,,47.13333,45.0,64.0,37.0,15.0,1.4375,1970-01-01,yfinance.info/recommendations
BRC,Industrials,74.87999725341797,49.93040044665361,-33.3194414021236,0.965,1.2887286797489188,-35.39650872091218,95.0,95.0,96.0,94.0,2.0,1.0,1970-01-01,yfinance.info/recommendations
BRK-B,Financial Services,508.9400024414063,1611.1515396831358,216.57003417974124,,,,528.6667,510.0,595.0,481.0,3.0,1.75,1970-01-01,yfinance.info/recommendations
BRO,Financial Services,80.69999694824219,73.44509513710324,-8.989965409530262,0.615,0.7620818132055653,-63.20275944812185,95.83333,93.5,114.0,79.0,12.0,2.57143,1970-01-01,yfinance.info/recommendations
BROS,Consumer Cyclical,53.709999084472656,2.1349119522503663,-96.02511266311386,,,,75.61111,72.5,95.0,63.0,18.0,1.42105,1970-01-01,yfinance.info/recommendations
BRT,Real Estate,14.59000015258789,,,1.0,6.854009523931539,,19.83333,19.5,24.0,16.0,3.0,2.0,1970-01-01,yfinance.info/recommendations
BRTX,Healthcare,1.3300000429153442,,,,,,13.0,13.0,18.0,8.0,2.0,1.5,1970-01-01,yfinance.info/recommendations
BRX,Real Estate,26.5,7.170849839064279,-72.9401892865499,1.152,4.347169811320755,-68.59301947522914,30.66667,30.5,35.0,27.0,18.0,1.5,1970-01-01,yfinance.info/recommendations
BSLK,Basic Materials,1.7999999523162842,,,,,,,,,,,,,yfinance.info/recommendations
BSX,Healthcare,102.69000244140624,22.527730599962823,-78.06239160154183,,,,126.48281,129.5,140.0,99.0,32.0,1.32353,1970-01-01,yfinance.info/recommendations
BTG,Basic Materials,4.099999904632568,,,0.08,1.9512195575811704,-86.38327660765654,5.79,6.0,7.0,4.45,5.0,2.23077,1970-01-01,yfinance.info/recommendations
BTM,Financial Services,2.039999961853028,5.36845626245852,163.15962562970338,,,,6.75,7.25,9.0,3.5,4.0,1.0,1970-01-01,yfinance.info/recommendations
BTU,Energy,28.8700008392334,19.893962667546653,-31.091229341041792,0.3,1.0391409465853207,-30.052088394456472,34.46667,33.9,42.0,27.0,6.0,1.33333,1970-01-01,yfinance.info/recommendations
BUSE,Financial Services,23.15999984741211,10.275488550157997,-55.632605276954806,1.0,4.317789320329981,-51.31481595662483,26.28571,26.0,29.0,24.0,7.0,2.28571,1970-01-01,yfinance.info/recommendations
BVFL,Financial Services,17.399999618530273,4.152532592749274,-76.13486963340505,0.130644,0.7508276026677012,-75.38404203073735,,,,,,,,yfinance.info/recommendations
BWA,Consumer Cyclical,44.79999923706055,48.60187925730989,8.48633947543521,0.5,1.116071447578012,9.602410923013222,49.21429,50.5,55.0,40.0,14.0,2.1875,1970-01-01,yfinance.info/recommendations
BWB,Financial Services,16.760000228881836,4.711299964091898,-71.88961873656122,,,,20.66667,21.0,21.0,20.0,3.0,,1970-01-01,yfinance.info/recommendations
BWFG,Financial Services,45.18000030517578,12.779811030456832,-71.71356586070499,0.8,1.7706949858261791,-69.9428708748788,49.75,49.75,53.0,46.5,2.0,,1970-01-01,yfinance.info/recommendations
BWIN,Financial Services,27.3799991607666,,,,,,34.25,34.0,47.0,24.0,8.0,2.33333,1970-01-01,yfinance.info/recommendations
BWMN,Industrials,34.56999969482422,13.47151030939762,-61.031210794559065,,,,45.33333,45.0,55.0,39.0,6.0,1.0,1970-01-01,yfinance.info/recommendations
BX,Financial Services,141.44000244140625,83.70510150437535,-40.81935798958183,4.69,3.3158936079224874,-37.50346438165934,179.55556,175.0,215.0,164.0,18.0,2.13636,1970-01-01,yfinance.info/recommendations
BXC,Industrials,55.470001220703125,9.921933426319455,-82.11297420592759,4.2517,7.664863721714023,-74.44811048421356,76.5,77.5,83.0,68.0,4.0,1.5,1970-01-01,yfinance.info/recommendations
BXMT,Real Estate,18.5,3.90727567910156,-78.87959092377535,1.88,10.16216216216216,-68.71742876161319,20.42857,20.0,23.0,19.0,7.0,2.25,1970-01-01,yfinance.info/recommendations
BXP,Real Estate,70.63999938964844,,,3.64,5.152887926742259,,79.95,80.0,91.0,65.0,20.0,2.26087,1970-01-01,yfinance.info/recommendations
