symbol,date,period,eps,src
CAT,2025-03-31,2025Q1,4.2,yahoo_income
CAT,2024-12-31,2024Q4,5.78,yahoo_income
CAT,2024-09-30,2024Q3,5.06,yahoo_income
CB,2025-09-30,2025Q3,6.99,yahoo_income
CB,2025-06-30,2025Q2,7.35,yahoo_income
CB,2025-03-31,2025Q1,3.29,yahoo_income
CB,2024-12-31,2024Q4,6.02,yahoo_income
CB,2024-09-30,2024Q3,5.7,yahoo_income
CHTR,2025-09-30,2025Q3,8.34,yahoo_income
CHTR,2025-06-30,2025Q2,9.18,yahoo_income
CHTR,2025-03-31,2025Q1,8.42,yahoo_income
CHTR,2024-12-31,2024Q4,10.1,yahoo_income
CHTR,2024-09-30,2024Q3,8.82,yahoo_income
CI,2025-09-30,2025Q3,6.98,yahoo_income
CI,2025-06-30,2025Q2,5.71,yahoo_income
CI,2025-03-31,2025Q1,4.85,yahoo_income
CI,2024-12-31,2024Q4,5.13,yahoo_income
CI,2024-09-30,2024Q3,2.63,yahoo_income
CL,2025-09-30,2025Q3,0.91,yahoo_income
CL,2025-06-30,2025Q2,0.91,yahoo_income
CL,2025-03-31,2025Q1,0.85,yahoo_income
CL,2024-12-31,2024Q4,0.9,yahoo_income
CL,2024-09-30,2024Q3,0.9,yahoo_income
CME,2025-09-30,2025Q3,2.49,yahoo_income
CME,2025-06-30,2025Q2,2.81,yahoo_income
CME,2025-03-31,2025Q1,2.62,yahoo_income
CME,2024-12-31,2024Q4,2.4,yahoo_income
CME,2024-09-30,2024Q3,2.5,yahoo_income
CMI,2025-09-30,2025Q3,3.86,yahoo_income
CMI,2025-06-30,2025Q2,6.43,yahoo_income
CMI,2025-03-31,2025Q1,5.96,yahoo_income
CMI,2024-12-31,2024Q4,3.02,yahoo_income
CMI,2024-09-30,2024Q3,5.86,yahoo_income
COP,2025-09-30,2025Q3,1.38,yahoo_income
COP,2025-06-30,2025Q2,1.56,yahoo_income
COP,2025-03-31,2025Q1,2.23,yahoo_income
COP,2024-12-31,2024Q4,1.9,yahoo_income
COP,2024-09-30,2024Q3,1.76,yahoo_income
COST,2025-08-31,2025Q3,5.87,yahoo_income
COST,2025-05-31,2025Q2,4.28,yahoo_income
COST,2025-02-28,2025Q1,4.02,yahoo_income
COST,2024-11-30,2024Q4,4.04,yahoo_income
COST,2024-08-31,2024Q3,5.29,yahoo_income
CRM,2025-07-31,2025Q3,1.96,yahoo_income
CRM,2025-04-30,2025Q2,1.59,yahoo_income
CRM,2025-01-31,2025Q1,1.75,yahoo_income
CRM,2024-10-31,2024Q4,1.58,yahoo_income
CRM,2024-07-31,2024Q3,1.47,yahoo_income
CVX,2025-09-30,2025Q3,1.82,yahoo_income
CVX,2025-06-30,2025Q2,1.45,yahoo_income
CVX,2025-03-31,2025Q1,2.0,yahoo_income
CVX,2024-12-31,2024Q4,1.84,yahoo_income
CVX,2024-09-30,2024Q3,2.48,yahoo_income
