symbol,sector,last_price,intrinsic_value,margin_%,dividend_ttm,dividend_yield_%,total_return_with_div_%,pt_mean,pt_median,pt_high,pt_low,pt_count,rec_mean,last_update,source
SUC,Industrials,28.0,72.88355827203586,160.29842240012806,1.6,5.714285714285714,-8.060811627897433,,,,,,,,yfinance.info/recommendations
SUN,Consumer Defensive,3.0199999809265137,5.402940571840988,78.90531807829369,0.35,11.58940404670541,57.99772168003056,,,,,,,,yfinance.info/recommendations
SUPER,Utilities,0.1199999973177909,0.1698418790757159,41.53490239331495,0.023,19.16666709507506,1755.1156169356875,,,,,,,,yfinance.info/recommendations
SUSCO,Energy,2.220000028610229,1.837115131224409,-17.2470672275403,0.18,8.10810800361494,355.3291564667492,3.1,3.1,3.1,3.1,1.0,,1970-01-01,yfinance.info/recommendations
SUTHA,Basic Materials,2.5,2.8249277409152524,12.9971096366101,0.15,6.000000000000001,303.1322961533021,,,,,,,,yfinance.info/recommendations
SVI,Technology,7.150000095367432,7.829714672382492,9.50649745383158,0.24,3.3566433118721046,207.52056904264637,6.0875,6.125,6.8,5.3,4.0,3.5,1970-01-01,yfinance.info/recommendations
SVOA,Technology,1.3300000429153442,-3.7946254479916393,-385.3101748533681,0.0481,3.6165412366878855,-381.6936336166802,,,,,,,,yfinance.info/recommendations
SVR,Real Estate,0.3700000047683716,-1.4156156818509162,-482.5988280019412,0.2,54.05405335743294,-428.5447746445082,,,,,,,,yfinance.info/recommendations
SVT,Industrials,1.159999966621399,3.38753172137003,192.02860507285286,0.045,3.87931045645341,-11.471663079105229,,,,,,,,yfinance.info/recommendations
SWC,Basic Materials,3.5,5.237540067579239,49.64400193083541,0.25,7.142857142857142,-60.08786434424125,,,,,,,,yfinance.info/recommendations
SYMC,Communication Services,3.859999895095825,7.661362642183915,98.48090286006914,0.1589,4.116580422758154,102.59748328282728,7.4,7.4,7.4,7.4,1.0,,1970-01-01,yfinance.info/recommendations
SYNEX,Technology,10.300000190734863,-2.3446450187048837,-122.76354344938709,0.44,4.27184458108838,-53.04361511540161,14.625,14.45,16.0,13.6,4.0,1.0,1970-01-01,yfinance.info/recommendations
SYNTEC,Industrials,1.7200000286102295,4.319815906356683,151.15208340124974,0.11,6.395348730830003,157.5474321320797,,,,,,,,yfinance.info/recommendations
TACC,Consumer Defensive,4.900000095367432,5.535384253619112,12.967023385415576,0.4,8.163265147242933,21.13028853265851,6.3,6.3,6.4,6.2,2.0,1.0,1970-01-01,yfinance.info/recommendations
TAE,Basic Materials,0.5099999904632568,0.1835038191982757,-64.01885830790101,0.24,47.05882440938808,-16.960033898512933,,,,,,,,yfinance.info/recommendations
TAKUNI,Industrials,0.3499999940395355,-3.169265091773729,-1005.5043273559979,0.1199,34.257143440538535,-971.2471839154592,,,,,,,,yfinance.info/recommendations
TAN,Consumer Cyclical,4.059999942779541,7.394032938584957,82.11904046291397,0.33,8.128078932288771,171.54861461852033,4.5,4.5,4.5,4.5,1.0,,1970-01-01,yfinance.info/recommendations
TASCO,Basic Materials,14.399999618530272,13.3833354870375,-7.0601677668414835,0.9,6.250000165568462,-0.810167601273033,17.3,17.25,18.4,16.3,6.0,1.33333,1970-01-01,yfinance.info/recommendations
TATG,Consumer Cyclical,0.9200000166893004,2.7535353195831345,199.29731191657683,0.07,7.608695514148038,-13.809607921278722,,,,,,,,yfinance.info/recommendations
TBN,Technology,4.21999979019165,3.761348253235184,-10.868520373448574,0.19,4.5023698920935535,-6.366150481355008,,,,,,,,yfinance.info/recommendations
TC,Consumer Defensive,5.050000190734863,11.56384163508113,128.9869544222411,0.3,5.940593835033989,134.92754825727508,,,,,,,,yfinance.info/recommendations
TCAP,Financial Services,51.25,,,3.35,6.536585365853657,-6.6386140034386685,55.4,56.0,57.0,53.0,5.0,2.2,1970-01-01,yfinance.info/recommendations
TCC,Energy,0.2899999916553497,-0.3825318596738669,-231.90754161416896,0.155,53.44827740002477,-178.45926421414416,,,,,,,,yfinance.info/recommendations
TCJ,Industrials,2.680000066757202,4.197973883282687,56.64081263856953,0.3557849999999999,13.275559370806269,69.91637200937579,,,,,,,,yfinance.info/recommendations
TCMC,Consumer Cyclical,0.3600000143051147,-7.697460198735915,-2238.1833035739833,0.341282,94.80055178852008,-2143.382751785464,,,,,,,,yfinance.info/recommendations
TCOAT,Consumer Cyclical,25.0,-2.3751344840523885,-109.50053793620955,0.5,2.0,60.85291846132085,,,,,,,,yfinance.info/recommendations
TEAM,Technology,2.2799999713897705,4.840645848062223,112.30903108790898,0.2,8.771929934634619,121.08096102254356,,,,,,,,yfinance.info/recommendations
TEAMG,Industrials,3.059999942779541,2.741872510807718,-10.396321500674697,0.14,4.575163484246064,-75.75482413539696,,,,,,,,yfinance.info/recommendations
TEGH,Basic Materials,2.8399999141693115,10.536308220595362,270.99677954311454,0.21,7.3943664206561825,-15.483946826169756,5.0,5.0,5.0,5.0,1.0,,1970-01-01,yfinance.info/recommendations
TEKA,Industrials,1.7200000286102295,5.77540516361678,235.7793643924147,0.155,9.01162775707864,244.7909921494933,,,,,,,,yfinance.info/recommendations
TERA,Technology,0.9900000095367432,1.2212388755246806,23.35746098589862,0.08,8.08080800296506,218.4415162321435,,,,,,,,yfinance.info/recommendations
TFG,Consumer Defensive,4.599999904632568,19.575254797224037,325.54902615346117,0.525,11.413043714876666,5.914625125627865,6.53571,6.3,8.5,5.4,7.0,1.42857,1970-01-01,yfinance.info/recommendations
TFI,Consumer Cyclical,0.050000000745058,-0.0737486408925636,-247.49727958724662,6.087071,12174.14181859115,11926.644539003904,,,,,,,,yfinance.info/recommendations
TFM,Consumer Defensive,5.800000190734863,8.28743992473906,42.88689055524042,0.685,11.810344439199238,-55.51470873813781,,,,,,1.5,1970-01-01,yfinance.info/recommendations
