symbol,period_1,period_2,period_3,period_4,period_5,period_6,eps_1,eps_2,eps_3,eps_4,eps_5,eps_6
FNS,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.38,-0.23,-0.35,-0.48,,
FORTH,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.18,0.44,0.13,0.06,0.02,
FPI,2025Q3,2025Q2,2025Q1,2024Q3,,,0.07,0.04,0.05,0.0,,
FPT,2026Q1,2025Q4,2025Q2,2025Q1,2024Q4,,0.55,0.14,0.27,0.1,0.14,
FSMART,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.18,0.19,0.21,0.2,0.15,
FSX,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.08,-0.06,-0.11,-0.08,0.04,
FTE,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.07,0.05,0.05,0.05,0.08,
FTI,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.11,0.03,0.03,0.02,-0.0,
FTREIT,2026Q1,2025Q4,2025Q2,2025Q1,2024Q4,,0.21,0.19,0.25,0.27,0.19,
FUTURERT,2026Q1,2025Q3,2025Q2,2025Q1,,,0.35,0.2,0.28,0.24,,
FVC,2025Q3,2025Q2,2025Q1,2024Q3,,,0.01,0.01,0.02,-0.01,,
GABLE,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.12,0.16,0.11,-0.01,0.07,
GAHREIT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.78,0.17,0.17,-0.36,0.17,
GBX,2025Q3,2025Q2,2025Q1,2024Q3,,,0.09,-0.0,-0.01,0.02,,
GC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.19,0.13,0.11,0.12,0.09,
GCAP,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.01,0.0,0.0,-0.02,,
GEL,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.01,-0.02,-0.01,-0.01,,
GENCO,2025Q3,2025Q2,2025Q1,2024Q3,,,0.01,0.0,0.0,0.0,,
GFC,2025Q3,2025Q2,2025Q1,2024Q3,,,0.03,0.03,0.03,0.08,,
GFPT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.41,0.57,0.51,0.51,0.43,
GGC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.09,-0.38,-0.16,-0.2,-0.18,
GJS,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.0,-0.01,-0.01,-0.01,-0.02,
GLAND,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.02,0.02,0.02,0.02,0.02,
GLOBAL,2025Q3,2025Q2,2025Q1,2024Q3,,,0.07,0.09,0.12,0.06,,
GLORY,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.02,-0.02,-0.02,-0.01,-0.02,
GPI,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.28,-0.1,0.09,0.26,-0.07,
GPSC,2026Q1,2025Q2,2025Q1,2024Q3,,,0.61,0.72,0.4,0.27,,
GRAMMY,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.15,-0.14,-0.0,0.13,-0.03,
GRAND,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.04,-0.03,-0.01,-0.01,,
GREEN,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.01,0.01,-0.01,-0.03,0.02,
GROREIT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.25,0.22,0.21,0.18,0.21,
GSTEEL,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.01,-0.02,-0.01,-0.02,-0.01,
GTB,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.01,0.02,0.02,0.02,0.03,
GTV,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.0,-0.0,0.0,0.0,-0.0,
GULF,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.61,0.49,4.28,0.46,0.51,
GUNKUL,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.05,0.05,0.06,0.04,0.04,
GVREIT,2026Q1,2025Q4,2025Q2,2025Q1,2024Q4,,0.24,0.21,0.24,0.25,0.25,
GYT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,4.17,11.89,7.14,13.08,13.64,
HANA,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.12,0.02,0.0,0.54,0.46,
HANN,2025Q3,2025Q2,2024Q3,,,,0.01,0.0,0.02,,,
HARN,2025Q3,2025Q2,2025Q1,2024Q3,,,0.04,0.04,0.03,0.06,,
HENG,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.02,0.0,0.0,0.01,0.0,
HFT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.11,0.02,0.04,0.12,-0.06,
HL,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.07,0.05,0.06,0.08,0.06,
HMPRO,2026Q1,2025Q2,2025Q1,2024Q3,,,0.11,0.11,0.13,0.11,,
HPT,2025Q3,2025Q2,2025Q1,2024Q3,,,0.0,0.0,0.01,0.01,,
HTC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.49,0.33,0.36,0.45,0.32,
HTECH,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.08,0.12,0.08,0.08,0.07,
HUMAN,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.09,0.09,0.1,0.09,0.07,
HYDRO,2025Q3,2025Q2,2025Q1,2024Q3,,,0.2,0.02,0.0,-0.68,,
HYDROGEN,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.18,0.17,0.17,0.17,0.15,
I2,2025Q3,2025Q2,2025Q1,2024Q3,,,0.0,-0.01,0.0,0.02,,
ICC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.27,-0.03,0.38,1.21,-0.1,
ICHI,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.22,0.28,0.31,0.19,0.27,
ICN,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.09,0.04,0.04,0.04,0.05,
IFS,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.03,0.09,0.08,-0.03,0.07,
IHL,2025Q3,2025Q2,2025Q1,2024Q3,,,0.03,0.08,0.08,-0.03,,
IIG,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.38,-0.32,-0.83,0.0,,
III,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.12,0.13,0.1,0.14,0.13,
ILINK,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.14,0.16,0.12,0.17,0.26,
ILM,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.37,0.36,0.35,0.43,0.38,
IMH,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.13,-0.17,-0.35,0.03,-0.08,
IMPACT,2025Q4,2025Q3,2025Q2,2024Q4,2024Q3,,0.27,0.13,0.24,0.19,0.12,
IND,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.02,0.07,0.09,0.06,0.05,
INET,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.14,0.06,0.11,0.07,0.16,
INETREIT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.28,0.26,0.27,0.25,0.23,
INGRS,2025Q4,2025Q3,2025Q2,2024Q4,,,-0.18,0.07,-0.04,0.02,,
INOX,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.13,0.05,0.06,-0.15,0.08,
INSET,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.05,0.02,0.01,0.01,0.05,
INSURE,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-10.18,8.24,2.96,-10.59,5.79,
IP,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.06,0.07,0.05,0.04,0.01,
IRC,2026Q1,2025Q4,2025Q2,2025Q1,2024Q4,,0.44,0.3,0.33,0.27,0.17,
IRCP,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.01,-0.28,-0.02,-0.01,0.02,
IROYAL,2026Q1,2025Q2,2025Q1,,,,0.14,0.17,0.04,,,
IRPC,2026Q1,2025Q2,2025Q1,2024Q3,,,0.39,-0.1,-0.06,-0.24,,
ISSARA,2025Q3,2025Q2,2025Q1,2024Q3,,,0.16,0.15,0.16,0.11,,
IT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.25,0.11,0.13,0.08,0.09,
ITC,2026Q1,2025Q2,2025Q1,2024Q3,,,0.29,0.23,0.23,0.33,,
ITD,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.28,0.39,1.28,-0.53,,
ITEL,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.02,-0.03,0.01,0.02,0.02,
ITNS,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.03,0.06,0.04,0.03,0.05,
ITTHI,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.02,0.02,0.03,0.04,0.02,
IVF,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.01,-0.01,-0.01,0.01,,
IVL,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.54,-0.19,-0.13,-0.27,0.2,
J,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.04,-0.08,-0.07,-0.02,0.01,
JAK,2025Q3,2025Q2,2025Q1,2024Q3,,,0.03,0.02,0.01,0.01,,
JAS,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.09,0.22,-0.02,0.02,0.02,
JCK,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.05,-0.04,-0.04,-0.02,,
JCT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,3.08,2.13,2.29,2.57,0.65,
JDF,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.06,0.06,0.01,0.03,0.04,
JMART,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.11,0.06,0.08,0.1,0.17,
JMT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.17,0.16,0.17,0.23,0.29,
JPARK,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.08,0.03,0.05,0.06,0.23,
JR,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.01,0.03,0.03,-0.0,0.04,
JSP,2025Q3,2025Q2,2025Q1,2024Q3,,,0.03,0.06,0.02,0.07,,
JTS,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.07,0.01,0.0,0.16,0.18,
JUBILE,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.2,0.1,0.1,0.15,0.14,
K,2025Q3,2025Q2,2025Q1,2024Q3,,,0.02,-0.09,0.02,0.0,,
KAMART,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.14,0.14,0.11,0.16,0.14,
KASET,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.06,-0.06,-0.06,-0.07,,
KBANK,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,6.24,5.35,5.27,5.67,5.05,
KBS,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.88,-0.07,0.52,1.06,-0.09,
KC,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.0,-0.0,-0.0,-0.01,,
KCAR,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.18,0.2,0.18,0.2,0.12,
KCC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.43,0.03,0.16,0.02,0.03,
KCE,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.2,0.25,0.15,0.19,0.18,
KCG,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.28,0.16,0.18,0.22,0.14,
KCM,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.01,-0.0,-0.0,-0.01,,
KDH,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,2.42,2.41,2.03,2.09,2.49,
KGEN,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.03,-0.02,-0.04,-0.02,-0.05,
KGI,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.16,0.18,0.07,0.1,0.1,
KIAT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.0,0.0,0.01,0.01,0.0,
KISS,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.08,0.1,0.04,0.06,0.09,
KJL,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.11,0.17,0.21,0.13,0.19,
KK,2025Q3,2025Q2,2025Q1,2024Q3,,,0.01,0.01,0.01,0.01,,
KKC,2024Q3,,,,,,-0.21,,,,,
KKP,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,2.4,2.02,1.7,1.28,1.55,
KLINIQ,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.55,0.36,0.41,0.39,0.34,
KOOL,2025Q3,2025Q2,2025Q1,2024Q3,,,0.0,0.0,0.01,0.0,,
KPNREIT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.05,0.0,-0.06,0.03,0.03,
KSL,2026Q1,2025Q3,2025Q2,2025Q1,,,0.03,0.01,0.03,0.03,,
KTB,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.89,1.05,0.8,0.84,0.84,
KTBSTMR,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.17,0.08,0.15,0.15,0.22,
KTC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.84,0.76,0.73,0.72,0.74,
KTIS,2026Q1,2025Q4,2025Q2,2025Q1,2024Q4,,-0.02,-0.16,0.1,-0.06,-0.26,
KTMS,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.02,0.04,0.03,0.04,0.01,
KUMWEL,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.09,0.03,0.02,0.03,0.02,
KUN,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.0,-0.0,0.03,-0.01,0.01,
KWC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,4.28,4.23,3.92,4.01,3.49,
KWI,2024Q3,,,,,,-0.06,,,,,
KWM,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.01,0.01,0.03,0.04,0.03,
KYE,2025Q4,2025Q3,2025Q2,2024Q4,2024Q3,,14.03,18.98,-0.23,18.63,13.1,
LALIN,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.08,0.11,0.14,0.1,0.2,
LANNA,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.34,0.19,0.34,0.46,0.56,
LDC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.01,-0.01,-0.01,-0.0,-0.0,
LEE,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.05,0.1,0.09,0.06,0.06,
LEO,2025Q3,2025Q2,2025Q1,2024Q3,,,0.01,0.02,0.03,0.04,,
LH,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.06,0.07,0.12,0.07,0.05,
LHFG,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.04,0.04,0.03,0.03,0.03,
LHHOTEL,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.41,0.39,0.32,0.43,0.52,
LHK,2025Q4,2025Q3,2025Q2,2024Q4,2024Q3,,0.07,0.06,0.07,0.07,0.06,
LHRREIT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.1,0.06,0.23,0.11,0.08,
LHSC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.39,0.59,0.33,0.53,0.58,
LIT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.01,0.01,0.01,0.01,-0.88,
LOXLEY,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.09,0.06,0.03,0.03,0.0,
LPH,2025Q3,2025Q2,2025Q1,2024Q3,,,0.08,0.08,0.05,0.06,,
LPN,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.0,0.04,0.01,0.01,0.03,
LRH,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,2.96,-1.96,-0.75,4.08,2.05,
LST,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.16,0.22,0.16,0.12,0.22,
LTMH,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.03,0.04,0.04,0.01,0.04,
LTS,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.01,0.1,0.09,0.1,,
M,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.18,0.25,0.3,0.26,0.37,
M-CHAI,2025Q3,2025Q2,2025Q1,2024Q3,,,0.63,0.27,0.12,0.4,,
MADAME,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.03,-0.02,0.02,0.28,-0.16,
MAGURO,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.27,0.3,0.25,0.26,0.23,
MAJOR,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.1,0.17,0.16,0.04,0.06,
MALEE,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.04,0.04,0.15,0.13,0.11,
MANRIN,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.49,0.44,0.14,0.52,0.68,
MASTEC,2026Q1,2025Q2,2025Q1,,,,0.06,-0.01,0.03,,,
MASTER,2025Q3,2025Q2,2025Q1,2024Q3,,,0.14,0.17,0.18,0.35,,
MATCH,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.01,-0.02,-0.03,-0.02,-0.01,
MATI,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.06,-0.09,-0.09,-0.18,-0.08,
MBAX,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.08,0.06,0.03,0.04,-0.08,
MBK,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.73,0.61,0.75,0.63,0.43,
MC,2026Q1,2025Q4,2025Q3,2025Q1,2024Q4,,0.22,0.37,0.15,0.24,0.38,
MCA,2025Q3,2025Q2,2025Q1,2024Q3,,,0.03,0.02,0.03,0.02,,
MCOT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.09,-0.04,-0.09,-0.12,-0.08,
MCS,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.2,0.49,0.5,0.46,0.31,
MDX,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.16,0.4,0.12,0.18,0.26,
MEB,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.34,0.34,0.34,0.38,0.35,
MEDEZE,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.03,0.03,0.05,0.07,0.09,
MEGA,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.69,0.57,0.45,0.52,0.44,
MENA,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.02,0.02,0.02,0.02,0.03,
META,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.0,-0.01,-0.01,-0.01,,
METCO,2026Q1,2025Q4,2025Q2,2025Q1,2024Q4,,11.22,16.32,11.36,9.9,15.48,
MFC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.6,0.68,0.69,0.49,0.51,
MFEC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.17,0.17,0.08,0.14,0.21,
MGC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.29,0.23,0.05,0.05,0.01,
MGI,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.08,0.21,0.01,0.42,0.04,
MGT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.08,0.05,0.06,0.07,0.04,
MICRO,2025Q3,2025Q1,2024Q3,,,,0.01,0.01,-0.07,,,
MIDA,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.12,-0.03,0.01,-0.03,,
MII,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.17,0.28,0.16,0.16,0.28,
MILL,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.02,-0.01,-0.04,-0.49,,
MINT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.04,0.38,0.47,-0.0,-0.06,
MIPF,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.0,0.17,0.19,0.04,,
MITSIB,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.01,0.02,0.01,0.01,0.0,
MJD,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.43,-0.3,-0.12,-0.18,,
MJLF,2025Q3,2025Q2,2025Q1,2024Q3,,,0.22,0.21,0.52,0.17,,
MK,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.11,-0.1,-0.03,-0.09,-0.1,
ML,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.02,-0.01,0.0,-0.01,,
MMM,2026Q1,2025Q3,2024Q3,,,,0.09,0.11,0.05,,,
MNIT,2025Q3,2025Q2,2025Q1,2024Q3,,,0.03,0.05,0.04,0.01,,
MODERN,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.02,0.02,0.01,0.01,0.08,
MONO,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.04,0.0,0.0,-0.01,,
MOONG,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.06,0.06,0.02,0.04,0.02,
MORE,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.0,0.0,-0.0,-0.0,0.0,
MOSHI,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.58,0.42,0.41,0.47,0.33,
MOTHER,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.04,0.01,0.01,0.04,0.01,
MPJ,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.12,0.16,0.15,0.15,0.16,
MRDIYT,2026Q1,2025Q1,,,,,0.11,0.09,,,,
MSC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.23,0.05,0.05,0.32,0.07,
MST,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.31,0.11,0.0,0.23,0.26,
MTC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.86,0.81,0.78,0.74,0.7,
MTI,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.47,0.53,0.66,0.33,0.69,
MTW,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.01,-0.02,-0.01,0.0,-0.02,
MUD,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.24,-0.06,-0.03,-0.09,,
MVP,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.19,-0.03,-0.12,-0.06,,
NAM,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.01,0.03,0.02,0.06,0.1,
NAT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.01,0.01,-0.0,0.0,0.13,
NATION,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.0,-0.0,-0.0,-0.01,-0.0,
NC,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.02,0.03,0.0,-0.01,,
NCAP,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.13,0.11,0.11,0.1,0.05,
NCH,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.02,-0.02,-0.02,-0.02,-0.0,
NCL,2025Q3,2025Q2,2025Q1,2024Q3,,,0.0,0.0,-0.04,-0.3,,
NCP,2025Q3,2025Q2,2025Q1,2024Q3,,,0.03,0.03,0.03,0.03,,
NDR,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.03,0.01,0.0,0.01,0.01,
NEO,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.32,0.2,0.27,0.85,0.77,
NEP,2025Q3,2025Q2,2025Q1,2024Q3,,,0.0,-0.0,0.0,0.0,,
NER,2025Q3,2025Q2,2025Q1,2024Q3,,,0.18,0.3,0.33,0.2,,
NETBAY,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.17,0.32,0.38,0.35,0.26,
NEW,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.72,1.88,1.04,0.55,1.66,
NEX,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.01,-0.01,0.05,-0.05,-0.09,
NFC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.03,0.02,0.02,0.01,0.02,
NKI,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.32,0.78,-1.87,-9.15,-0.74,
NKT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.01,0.12,0.08,0.1,0.16,
NL,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.02,-0.04,0.01,0.0,,
NNCL,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.03,0.06,0.02,0.04,0.03,
NOBLE,2025Q3,2025Q2,2025Q1,2024Q3,,,0.5,-0.04,0.06,-0.0,,
NOVA,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.58,0.16,0.18,-0.02,-0.02,
NPK,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.04,0.94,1.33,0.67,0.3,
NRF,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.04,-0.06,-0.13,-0.04,,
NSL,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.54,0.42,0.55,0.57,0.45,
NTF,2026Q1,2025Q3,2025Q2,2024Q3,,,0.16,0.19,0.76,0.07,,
NTSC,2025Q3,2025Q2,2025Q1,2024Q3,,,0.26,0.23,0.21,0.18,,
NTV,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.28,0.47,0.35,0.48,0.79,
NUT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.17,0.07,0.12,0.24,0.11,
NV,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.04,-0.02,-0.02,-0.09,,
NVD,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.0,0.03,-0.02,0.01,0.0,
NWR,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.06,-0.0,0.1,-0.43,,
NYT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.1,0.08,0.08,0.08,0.08,
OCC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.05,-0.02,-0.07,0.27,-0.02,
OGC,2025Q3,2025Q2,2025Q1,2024Q3,,,0.07,-1.34,-1.34,-3.1,,
OHTL,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,12.79,-1.72,-1.44,12.84,3.78,
OKJ,2025Q3,2025Q2,2025Q1,2024Q3,,,0.03,0.04,0.1,0.1,,
ONEE,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.02,0.09,0.04,-0.01,0.07,
ONSENS,2026Q1,2025Q1,,,,,0.02,0.02,,,,
OR,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.2,0.22,0.19,0.36,-0.13,
ORI,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.04,0.07,0.13,0.05,0.16,
ORN,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.03,0.05,0.02,0.03,0.04,
OSP,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.39,0.23,0.34,0.42,-0.12,
PACO,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.04,0.02,0.03,0.04,0.02,
PAF,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.02,0.01,0.02,0.02,-0.02,
PANEL,2025Q3,2025Q2,2025Q1,2024Q3,,,0.03,0.02,0.02,0.02,,
PAP,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.19,0.03,0.04,0.08,-0.24,
