symbol,period_1,period_2,period_3,period_4,period_5,period_6,eps_1,eps_2,eps_3,eps_4,eps_5,eps_6
APURE,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.01,-0.28,-0.04,0.06,0.05,
AQUA,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.03,-0.06,-0.02,-0.06,,
ARIN,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.01,-0.02,-0.02,-0.02,,
ARIP,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.0,0.01,0.01,0.0,0.0,
ARROW,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.17,0.16,0.13,0.15,0.17,
AS,2025Q3,2025Q2,2025Q1,2024Q3,,,0.11,0.04,0.08,0.08,,
ASAP,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.0,0.1,0.01,0.02,-0.05,
ASEFA,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.22,0.16,0.04,0.08,0.04,
ASIA,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.07,-0.02,-0.05,0.05,-0.01,
ASIAN,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.15,0.21,0.2,0.25,0.29,
ASIMAR,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.01,0.08,0.05,0.02,0.05,
ASK,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.29,0.15,0.2,0.28,0.11,
ASN,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.01,-0.01,-0.01,0.0,0.0,
ASP,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.05,0.06,0.02,0.0,0.03,
ASTR,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.02,0.11,-0.0,-0.02,0.01,
ASW,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.26,0.32,0.22,0.22,0.5,
ATLAS,2026Q1,2025Q1,,,,,0.05,0.04,,,,
ATP30,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.01,0.02,0.02,0.02,0.02,
AU,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.07,0.06,0.06,0.08,0.1,
AUCT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.06,0.09,0.08,0.1,0.17,
AURA,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.52,0.2,0.27,0.3,0.15,
AWC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.06,0.04,0.04,0.06,0.04,
AXTRART,2026Q1,2025Q3,2025Q1,2024Q4,2024Q3,,0.23,0.24,0.24,0.16,0.24,
AYUD,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,2.27,1.84,2.02,1.82,1.26,
B,2025Q3,2025Q2,2025Q1,2024Q3,,,0.0,0.0,0.0,0.0,,
B-WORK,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.03,0.18,0.12,0.03,0.22,
B52,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.02,-0.02,-0.02,-0.05,,
BA,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,1.01,0.5,0.19,0.8,0.32,
BAFS,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.22,0.05,0.07,0.2,0.02,
BAM,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.07,0.06,0.4,0.07,0.06,
BANPU,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.0,0.0,-0.0,-0.0,-0.0,
BAREIT,2026Q1,2025Q2,2025Q1,2024Q3,,,0.23,0.21,0.22,0.21,,
