symbol,sector,last_price,eps_ttm,g_base,fcf_ttm,fcf_mode,terminal_method,exit_multiple_used,shares,equity_last,roe_ttm,ebitda_ttm,net_debt,minority_interest,model,coe,wacc,terminal_pe_used,intrinsic,intrinsic_s_bull,intrinsic_s_base,intrinsic_s_bear,upside_pct,flags
AH,Consumer Cyclical,14.199999809265137,2.8,-0.22569923716827311,359625373.0,fcfe,,,336087412.0,,,2350338767.0,5068844000.0,548943000.0,eps_dcf,0.1,0.08900000000000001,15.0,13.109434577781334,18.311531428234527,12.764501128074917,8.942138076447389,-7.680036944593736,
AHC,Healthcare,12.800000190734863,0.98,0.3,123392598.0,fcfe,,,149909264.0,,,247736318.0,-197202000.0,,eps_dcf,0.08,0.08,15.0,46.33210121788524,60.8958984375,45.98875284586136,32.79834911434212,261.96953537096203,
AI,Industrials,2.9000000953674316,0.14900000000000002,0.3,115443195.0,fcfe,,,699999021.0,,,230505792.0,-368926000.0,864331000.0,eps_dcf,0.08,0.08,15.0,7.0443704912907155,9.258662109375003,6.992167524523818,4.986687773507119,142.90931929773575,
AIE,Consumer Defensive,1.1299999952316284,0.053,-0.3,90516369.0,fcfe,,,1384014009.0,,,193220973.0,-333108000.0,,eps_dcf,0.1,0.09120000000000002,15.0,0.17722680823296433,0.2378430767762122,0.1660355787918112,0.15018422801317585,-84.3162115946172,
AIMCG,Real Estate,1.3600000143051147,-0.059958,0.3,,fcfe,,,288000000.0,,,-147194265.0,215377899.0,,eps_dcf,0.08,0.08,15.0,,,,,,eps<=0_block|no_intrinsic
AIMIRT,Real Estate,11.5,0.844804,-0.12914986367365744,,fcfe,,,791500104.0,,,893142981.0,4699022000.0,,eps_dcf,0.08,0.08,15.0,6.736811657049906,9.157223126088684,6.638124651783638,4.612461203809935,-41.41902906913125,
AIRA,Financial Services,1.0299999713897705,-0.017255,-0.3,863137452.0,fcfe,,,6314878533.0,,,378035305.0,3807123000.0,972214000.0,eps_dcf,0.08,0.08,15.0,,,,,,eps<=0_block|no_intrinsic
AIT,Technology,4.71999979019165,0.376893,0.04323706047587894,1042019340.0,fcfe,,,1536415572.0,,,946995826.0,-2368387000.0,1524000.0,eps_dcf,0.08,0.08,15.0,6.529194326680859,8.76447287133674,6.455047039950253,4.51635764221679,38.33039442605035,
AJ,Consumer Cyclical,2.7200000286102295,-0.7950000000000002,0.056723716909103716,101535236.0,fcfe,,,596498177.0,,,139650336.0,7783339000.0,493087000.0,eps_dcf,0.08,0.08,15.0,,,,,,eps<=0_block|no_intrinsic
AJA,Technology,0.14000000059604645,-0.02,-0.3,-33402844.0,fcfe,,,5743212607.0,,,-55414904.0,4753000.0,-4374000.0,eps_dcf,0.08,0.08,15.0,,,,,,eps<=0_block|no_intrinsic
