symbol,sector,model,intrinsic_value,last_price,w
B,Industrials,eps_dcf,0.071880196471413,0.0399999991059303,0.600803723339478
B-WORK,Unknown,eps_dcf,,4.480000019073486,0.7006426620119157
B52,Real Estate,eps_dcf,,0.3000000119209289,0.5901935294473374
BA,Industrials,eps_dcf,78.00812960154147,12.899999618530272,0.600803723339478
BAFS,Industrials,eps_dcf,1.3324677791981112,10.100000381469728,0.600803723339478
BAM,Financial Services,eps_dcf,2.3733616360462944,6.800000190734863,0.6075623789562842
BANPU,Energy,eps_dcf,,4.440000057220459,0.5567207650396745
BAREIT,Real Estate,eps_dcf,8.574891322754125,9.899999618530272,0.5901935294473374
BAY,Financial Services,eps_dcf,52.61128467714602,24.600000381469727,0.6075623789562842
BBGI,Utilities,eps_dcf,3.7774015904616913,2.940000057220459,0.4519033564412289
BBIK,Industrials,eps_dcf,6.970952648751351,20.600000381469727,0.600803723339478
BBL,Financial Services,eps_dcf,221.9014111035465,162.5,0.6075623789562842
BC,Real Estate,eps_dcf,6.505405232225519,0.7799999713897705,0.5901935294473374
BCH,Healthcare,eps_dcf,3.168391951612469,11.399999618530272,0.5150931379484303
BCP,Energy,eps_dcf,,30.25,0.5567207650396745
BCPG,Utilities,eps_dcf,11.346637032951488,8.600000381469727,0.4519033564412289
BCT,Basic Materials,eps_dcf,291.70312705546115,50.75,0.5768668839251622
BDMS,Healthcare,eps_dcf,16.08027367324059,19.700000762939453,0.5150931379484303
BE8,Technology,eps_dcf,18.91106172158581,5.599999904632568,0.5392162741363631
BEAUTY,Consumer Cyclical,eps_dcf,,0.5299999713897705,0.3937274233907813
BEC,Communication Services,eps_dcf,4.293384349706775,1.9700000286102293,0.5968830860786962
BEM,Industrials,eps_dcf,2.9799777347250584,5.099999904632568,0.600803723339478
BEYOND,Consumer Cyclical,eps_dcf,,6.900000095367432,0.3937274233907813
BGC,Consumer Cyclical,eps_dcf,18.438285178546167,4.599999904632568,0.3937274233907813
BGRIM,Utilities,eps_dcf,4.76715518617641,16.200000762939453,0.4519033564412289
BGT,Consumer Cyclical,eps_dcf,,0.4300000071525574,0.3937274233907813
BH,Healthcare,eps_dcf,189.8282683761252,179.0,0.5150931379484303
BIG,Consumer Cyclical,eps_dcf,1.2528578390550598,0.3600000143051147,0.3937274233907813
BIOTEC,Basic Materials,eps_dcf,,0.2000000029802322,0.5768668839251622
BIS,Consumer Defensive,eps_dcf,0.7909085618367991,2.4800000190734863,0.4651378551621244
BIZ,Healthcare,eps_dcf,3.249246630452652,3.839999914169312,0.5150931379484303
BJC,Industrials,eps_dcf,3.550123927829248,19.299999237060547,0.600803723339478
BJCHI,Industrials,eps_dcf,,0.8199999928474426,0.600803723339478
BKA,Unknown,eps_dcf,,1.0499999523162842,0.7006426620119157
BKD,Unknown,eps_dcf,1.8780046973881168,1.0700000524520874,0.7006426620119157
BKGI,Healthcare,eps_dcf,2.633632320914717,1.5800000429153442,0.5150931379484303
BKIH,Financial Services,eps_dcf,637.4227869477711,305.0,0.6075623789562842
BLA,Financial Services,eps_dcf,10.237336012199687,18.600000381469727,0.6075623789562842
BLAND,Real Estate,eps_dcf,0.1293843536485435,0.4900000095367431,0.5901935294473374
BLC,Consumer Defensive,eps_dcf,2.028338552244674,4.159999847412109,0.4651378551621244
BLESS,Real Estate,eps_dcf,0.0949344654418517,0.2599999904632568,0.5901935294473374
BLISS,Unknown,eps_dcf,,0.0309100002050399,0.7006426620119157
BM,Industrials,eps_dcf,0.5419766124105718,1.3200000524520874,0.600803723339478
BOFFICE,Real Estate,eps_dcf,23.525161126354675,5.0,0.5901935294473374
BOL,Industrials,eps_dcf,3.7413081781615256,5.75,0.600803723339478
BPP,Utilities,eps_dcf,4.601487709289756,10.399999618530272,0.4519033564412289
BPS,Technology,eps_dcf,0.3511509761219623,0.4699999988079071,0.5392162741363631
BR,Consumer Defensive,eps_dcf,6.146095059515389,1.690000057220459,0.4651378551621244
BRI,Real Estate,eps_dcf,21.156750301024125,1.9299999475479128,0.5901935294473374
BROCK,Real Estate,eps_dcf,,1.3600000143051147,0.5901935294473374
BRR,Consumer Defensive,eps_dcf,62.87928022427282,4.019999980926514,0.4651378551621244
BSBM,Basic Materials,eps_dcf,,0.6700000166893005,0.5768668839251622
BSM,Industrials,eps_dcf,,0.4300000071525574,0.600803723339478
BSRC,Energy,eps_dcf,,4.539999961853027,0.5567207650396745
BTC,Financial Services,eps_dcf,,0.3300000131130218,0.6075623789562842
BTG,Consumer Defensive,eps_dcf,11.15834202021765,16.299999237060547,0.4651378551621244
BTNC,Consumer Cyclical,eps_dcf,44.9137715887663,12.800000190734863,0.3937274233907813
BTS,Industrials,eps_dcf,0.4534183424088444,2.900000095367432,0.600803723339478
BTW,Industrials,eps_dcf,,0.1299999952316284,0.600803723339478
BUI,Financial Services,eps_dcf,67.65718337047257,13.399999618530272,0.6075623789562842
BVG,Technology,eps_dcf,0.3702708617034858,1.75,0.5392162741363631
BWG,Industrials,eps_dcf,0.9188343085059848,0.3000000119209289,0.600803723339478
BYD,Financial Services,eps_dcf,,0.6100000143051147,0.6075623789562842
CAZ,Industrials,eps_dcf,19.38383826462546,2.0199999809265137,0.600803723339478
CBG,Consumer Defensive,eps_dcf,16.254299981958177,45.25,0.4651378551621244
CCET,Technology,eps_dcf,4.814774019423963,6.099999904632568,0.5392162741363631
CCP,Basic Materials,eps_dcf,0.1144172848422317,0.2800000011920929,0.5768668839251622
CEN,Basic Materials,eps_dcf,,1.100000023841858,0.5768668839251622
CENTEL,Consumer Cyclical,eps_dcf,41.13155924444914,32.0,0.3937274233907813
CEYE,Consumer Cyclical,eps_dcf,0.3320738468950348,1.830000042915344,0.3937274233907813
CFARM,Consumer Defensive,eps_dcf,,0.6899999976158142,0.4651378551621244
CFRESH,Consumer Defensive,eps_dcf,,0.9200000166893004,0.4651378551621244
CGD,Real Estate,eps_dcf,,0.1199999973177909,0.5901935294473374
CGH,Financial Services,eps_dcf,,0.550000011920929,0.6075623789562842
CH,Consumer Defensive,eps_dcf,5.791512652235655,1.840000033378601,0.4651378551621244
CHAO,Consumer Defensive,eps_dcf,14.94072783816523,4.460000038146973,0.4651378551621244
CHARAN,Financial Services,eps_dcf,69.02537528378822,14.0,0.6075623789562842
CHASE,Financial Services,eps_dcf,0.992830740383255,0.5799999833106995,0.6075623789562842
CHAYO,Financial Services,eps_dcf,1.0726106815993222,1.5199999809265137,0.6075623789562842
CHEWA,Real Estate,eps_dcf,,0.3300000131130218,0.5901935294473374
CHG,Healthcare,eps_dcf,1.362848525097989,1.5399999618530271,0.5150931379484303
CHIC,Consumer Cyclical,eps_dcf,,0.3000000119209289,0.3937274233907813
CHO,Industrials,eps_dcf,,0.1099999994039535,0.600803723339478
CHOTI,Consumer Defensive,eps_dcf,,66.0,0.4651378551621244
CHOW,Basic Materials,eps_dcf,2.032939135070474,1.2400000095367432,0.5768668839251622
CI,Real Estate,eps_dcf,,0.3499999940395355,0.5901935294473374
CIG,Industrials,eps_dcf,,0.0399999991059303,0.600803723339478
CIMBT,Financial Services,eps_dcf,3.3094358012775174,0.3700000047683716,0.6075623789562842
CITY,Industrials,eps_dcf,,1.7400000095367432,0.600803723339478
CIVIL,Industrials,eps_dcf,5.673318516475744,1.0099999904632568,0.600803723339478
CK,Industrials,eps_dcf,5.526036048107789,15.399999618530272,0.600803723339478
CKP,Utilities,eps_dcf,0.8466170612165138,2.619999885559082,0.4519033564412289
CM,Consumer Defensive,eps_dcf,6.618871602555035,1.690000057220459,0.4651378551621244
CMAN,Basic Materials,eps_dcf,11.455375637850604,2.4200000762939453,0.5768668839251622
CMC,Real Estate,eps_dcf,,0.6100000143051147,0.5901935294473374
CMO,Communication Services,eps_dcf,0.0708466160013819,0.4799999892711639,0.5968830860786962
CMR,Healthcare,eps_dcf,2.032939135070474,1.5,0.5150931379484303
CNT,Industrials,eps_dcf,0.2692171408052513,1.100000023841858,0.600803723339478
COCOCO,Consumer Defensive,eps_dcf,17.019955549427223,7.449999809265137,0.4651378551621244
COLOR,Basic Materials,eps_dcf,0.1767623069234479,1.0299999713897705,0.5768668839251622
COM7,Consumer Cyclical,eps_dcf,6.289791372528816,26.0,0.3937274233907813
COMAN,Technology,eps_dcf,,0.4000000059604645,0.5392162741363631
CPALL,Consumer Defensive,eps_dcf,22.331364990851785,48.25,0.4651378551621244
CPANEL,Basic Materials,eps_dcf,,2.4800000190734863,0.5768668839251622
CPAXT,Consumer Defensive,eps_dcf,40.422394429889664,21.399999618530277,0.4651378551621244
CPF,Consumer Defensive,eps_dcf,14.700672820286748,21.700000762939453,0.4651378551621244
CPH,Consumer Cyclical,eps_dcf,24.46641221467211,8.199999809265137,0.3937274233907813
CPI,Consumer Defensive,eps_dcf,3.1668437352617715,3.240000009536743,0.4651378551621244
CPL,Consumer Cyclical,eps_dcf,,0.7400000095367432,0.3937274233907813
CPN,Real Estate,eps_dcf,56.08209271027492,55.25,0.5901935294473374
CPNREIT,Real Estate,eps_dcf,2.659988482403296,11.600000381469728,0.5901935294473374
CPR,Consumer Cyclical,eps_dcf,5.673318516475744,3.200000047683716,0.3937274233907813
CPT,Industrials,eps_dcf,5.441658010386316,0.959999978542328,0.600803723339478
CPW,Technology,eps_dcf,1.86888510825674,2.039999961853028,0.5392162741363631
CRANE,Industrials,eps_dcf,,0.3799999952316284,0.600803723339478
CRC,Consumer Cyclical,eps_dcf,57.205961707797066,20.600000381469727,0.3937274233907813
CRD,Industrials,eps_dcf,0.1275239088024874,0.3799999952316284,0.600803723339478
CREDIT,Financial Services,eps_dcf,10.332657310186033,16.899999618530273,0.6075623789562842
CSC,Consumer Cyclical,eps_dcf,303.04976408841264,45.75,0.3937274233907813
CSP,Basic Materials,eps_dcf,,0.5,0.5768668839251622
CSR,Consumer Cyclical,eps_dcf,130.01354933590244,71.5,0.3937274233907813
CSS,Technology,eps_dcf,0.3542330800069096,0.800000011920929,0.5392162741363631
CTW,Industrials,eps_dcf,,2.759999990463257,0.600803723339478
CV,Utilities,eps_dcf,,0.0299999993294477,0.4519033564412289
CWT,Consumer Cyclical,eps_dcf,0.8056863028951156,1.0700000524520874,0.3937274233907813
D,Healthcare,eps_dcf,1.2596681836526409,2.5999999046325684,0.5150931379484303
DCC,Industrials,eps_dcf,5.342374936347991,1.340000033378601,0.600803723339478
DCON,Basic Materials,eps_dcf,,0.2399999946355819,0.5768668839251622
DDD,Consumer Defensive,eps_dcf,0.363626079537611,5.849999904632568,0.4651378551621244
DELTA,Industrials,eps_dcf,27.95853678452311,205.0,0.600803723339478
DEMCO,Industrials,eps_dcf,0.696202450632336,4.019999980926514,0.600803723339478
DEXON,Energy,eps_dcf,,1.2100000381469729,0.5567207650396745
DHOUSE,Real Estate,eps_dcf,,0.4300000071525574,0.5901935294473374
DIMET,Basic Materials,eps_dcf,,0.0599999986588954,0.5768668839251622
DITTO,Technology,eps_dcf,2.951470022617571,12.0,0.5392162741363631
DMT,Industrials,eps_dcf,15.590318270993135,10.100000381469728,0.600803723339478
DOD,Consumer Defensive,eps_dcf,,1.899999976158142,0.4651378551621244
DOHOME,Consumer Cyclical,eps_dcf,7.596726244384953,4.079999923706055,0.3937274233907813
DPAINT,Basic Materials,eps_dcf,,0.6800000071525574,0.5768668839251622
DREIT,Real Estate,eps_dcf,21.73911644674036,4.900000095367432,0.5901935294473374
DRT,Industrials,eps_dcf,24.58438023806156,5.300000190734863,0.600803723339478
DTCENT,Technology,eps_dcf,2.875932107313473,1.0,0.5392162741363631
DTCI,Industrials,eps_dcf,,25.5,0.600803723339478
DUSIT,Consumer Cyclical,eps_dcf,,11.399999618530272,0.3937274233907813
DV8,Communication Services,eps_dcf,,6.449999809265137,0.5968830860786962
EA,Utilities,eps_dcf,19.09020278180783,3.200000047683716,0.4519033564412289
EASON,Basic Materials,eps_dcf,6.505405232225519,1.059999942779541,0.5768668839251622
EAST,Financial Services,eps_dcf,0.2687067334658574,0.7300000190734863,0.6075623789562842
EASTW,Utilities,eps_dcf,1.8438285178546163,2.6600000858306885,0.4519033564412289
ECF,Consumer Cyclical,eps_dcf,,0.2199999988079071,0.3937274233907813
EFORL,Healthcare,eps_dcf,0.0251505486804905,0.1599999964237213,0.5150931379484303
EGCO,Utilities,eps_dcf,64.54126717725892,129.0,0.4519033564412289
EKH,Healthcare,eps_dcf,9.258891733866438,5.300000190734863,0.5150931379484303
EMC,Industrials,eps_dcf,,0.050000000745058,0.600803723339478
EP,Industrials,eps_dcf,,1.2400000095367432,0.600803723339478
EPG,Basic Materials,eps_dcf,1.6772973121456676,2.900000095367432,0.5768668839251622
ERW,Consumer Cyclical,eps_dcf,8.897654540006123,2.5199999809265137,0.3937274233907813
ESTAR,Real Estate,eps_dcf,,0.1899999976158142,0.5901935294473374
ETC,Utilities,eps_dcf,2.62484626570866,0.6800000071525574,0.4519033564412289
ETE,Industrials,eps_dcf,1.7019955549427233,0.699999988079071,0.600803723339478
ETL,Industrials,eps_dcf,0.2006341225278841,0.7400000095367432,0.600803723339478
EURO,Consumer Cyclical,eps_dcf,5.2315845141526,4.139999866485596,0.3937274233907813
EVER,Real Estate,eps_dcf,,0.0599999986588954,0.5901935294473374
FANCY,Consumer Cyclical,eps_dcf,0.2269327406590296,0.2800000011920929,0.3937274233907813
FE,Communication Services,eps_dcf,637.7755565604815,198.0,0.5968830860786962
FLOYD,Industrials,eps_dcf,0.4192348501881775,0.9700000286102296,0.600803723339478
FM,Consumer Defensive,eps_dcf,4.565048248478218,3.7799999713897705,0.4651378551621244
FMT,Industrials,eps_dcf,,25.5,0.600803723339478
FN,Consumer Cyclical,eps_dcf,,0.4900000095367431,0.3937274233907813
FNS,Financial Services,eps_dcf,,0.949999988079071,0.6075623789562842
FORTH,Industrials,eps_dcf,3.162728644742174,7.099999904632568,0.600803723339478
FPI,Consumer Cyclical,eps_dcf,5.705430022639706,1.5499999523162842,0.3937274233907813
FPT,Real Estate,eps_dcf,2.302515020044912,6.5,0.5901935294473374
FSMART,Communication Services,eps_dcf,2.444208252047676,7.650000095367432,0.5968830860786962
FSX,Financial Services,eps_dcf,,1.0099999904632568,0.6075623789562842
FTE,Industrials,eps_dcf,0.7084661600138192,1.7200000286102295,0.600803723339478
FTI,Industrials,eps_dcf,0.4635090561469566,1.8799999952316284,0.600803723339478
FTREIT,Real Estate,eps_dcf,3.1951505006851244,10.100000381469728,0.5901935294473374
FUTURERT,Real Estate,eps_dcf,2.7691187201094354,9.25,0.5901935294473374
FVC,Industrials,eps_dcf,2.151133270830386,0.4099999964237213,0.600803723339478
GABLE,Technology,eps_dcf,0.921006008017965,2.940000057220459,0.5392162741363631
GAHREIT,Real Estate,eps_dcf,7.377772509442274,4.139999866485596,0.5901935294473374
GBX,Financial Services,eps_dcf,0.0709164814559466,0.4799999892711639,0.6075623789562842
GC,Basic Materials,eps_dcf,11.308288335066164,3.9600000381469727,0.5768668839251622
GCAP,Financial Services,eps_dcf,,0.3499999940395355,0.6075623789562842
GEL,Basic Materials,eps_dcf,,0.0299999993294477,0.5768668839251622
GENCO,Industrials,eps_dcf,0.1581364322371087,0.2399999946355819,0.600803723339478
GFC,Healthcare,eps_dcf,10.401083946872198,3.180000066757202,0.5150931379484303
GFPT,Consumer Defensive,eps_dcf,8.397334791631064,10.399999618530272,0.4651378551621244
GGC,Basic Materials,eps_dcf,,3.700000047683716,0.5768668839251622
GJS,Basic Materials,eps_dcf,,0.1299999952316284,0.5768668839251622
GLAND,Real Estate,eps_dcf,0.2444208252047676,0.7400000095367432,0.5901935294473374
GLOBAL,Consumer Cyclical,eps_dcf,20.07933983709108,7.550000190734863,0.3937274233907813
GLORY,Communication Services,eps_dcf,,0.959999978542328,0.5968830860786962
GPI,Communication Services,eps_dcf,17.965508635506524,1.590000033378601,0.5968830860786962
GPSC,Utilities,eps_dcf,6.46697060375802,42.25,0.4519033564412289
GRAMMY,Communication Services,eps_dcf,6.47703863964314,4.559999942779541,0.5968830860786962
GRAND,Consumer Cyclical,eps_dcf,,0.0299999993294477,0.3937274233907813
GREEN,Utilities,eps_dcf,,0.6700000166893005,0.4519033564412289
GROREIT,Real Estate,eps_dcf,13.567217543484094,7.5,0.5901935294473374
GSTEEL,Unknown,eps_dcf,,0.0900000035762786,0.7006426620119157
GTB,Industrials,eps_dcf,0.634922441573316,0.6800000071525574,0.600803723339478
GTV,Utilities,eps_dcf,,0.050000000745058,0.4519033564412289
GULF,Utilities,eps_dcf,18.893046538042427,45.75,0.4519033564412289
GUNKUL,Utilities,eps_dcf,0.6730428520131282,2.119999885559082,0.4519033564412289
