symbol,pt_mean,pt_median,pt_high,pt_low,pt_count,rec_mean,last_update,recency_days,source
BCT,,,,,,,,,yfinance.info/recommendations
BDMS,28.75652,29.0,37.0,20.0,23.0,1.6087,1970-01-01,20403.0,yfinance.info/recommendations
BE8,5.6,5.45,7.0,4.5,4.0,4.0,1970-01-01,20403.0,yfinance.info/recommendations
BEAUTY,,,,,,,,,yfinance.info/recommendations
BEC,3.105,2.96,4.0,2.5,4.0,,1970-01-01,20403.0,yfinance.info/recommendations
BEM,8.47917,8.325,10.4,7.3,12.0,1.0,1970-01-01,20403.0,yfinance.info/recommendations
BEYOND,,,,,,,,,yfinance.info/recommendations
BGC,,,,,,,,,yfinance.info/recommendations
BGRIM,17.74667,16.5,28.0,11.6,15.0,1.8,1970-01-01,20403.0,yfinance.info/recommendations
BGT,,,,,,,,,yfinance.info/recommendations
BH,213.38112,216.0,300.0,160.0,21.0,1.80952,1970-01-01,20403.0,yfinance.info/recommendations
BIG,,,,,,,,,yfinance.info/recommendations
BIOTEC,,,,,,,,,yfinance.info/recommendations
BIS,,,,,,,,,yfinance.info/recommendations
BIZ,,,,,,,,,yfinance.info/recommendations
BJC,21.40667,22.0,30.0,17.0,15.0,,1970-01-01,20403.0,yfinance.info/recommendations
BJCHI,,,,,,,,,yfinance.info/recommendations
BKA,,,,,,,,,yfinance.info/recommendations
BKD,,,,,,,1970-01-01,20403.0,yfinance.info/recommendations
BKGI,1.7,1.7,1.7,1.7,1.0,,1970-01-01,20403.0,yfinance.info/recommendations
BKIH,,,,,,,,,yfinance.info/recommendations
BLA,28.0,28.0,28.0,28.0,1.0,,1970-01-01,20403.0,yfinance.info/recommendations
BLAND,,,,,,,,,yfinance.info/recommendations
BLC,,,,,,,,,yfinance.info/recommendations
BLESS,,,,,,,,,yfinance.info/recommendations
BLISS,,,,,,,,,yfinance.info/recommendations
BM,,,,,,,,,yfinance.info/recommendations
BOFFICE,5.3,5.3,5.3,5.3,1.0,,1970-01-01,20403.0,yfinance.info/recommendations
BOL,,,,,,,,,yfinance.info/recommendations
BPP,10.0,10.0,10.0,10.0,1.0,1.5,1970-01-01,20403.0,yfinance.info/recommendations
BPS,,,,,,,,,yfinance.info/recommendations
BR,,,,,,,,,yfinance.info/recommendations
BRI,,,,,,,,,yfinance.info/recommendations
BROCK,,,,,,,,,yfinance.info/recommendations
BRR,,,,,,,,,yfinance.info/recommendations
BSBM,,,,,,,,,yfinance.info/recommendations
BSM,,,,,,,,,yfinance.info/recommendations
BSRC,6.06667,6.05,7.4,4.7,6.0,1.66667,1970-01-01,20403.0,yfinance.info/recommendations
BTC,,,,,,,,,yfinance.info/recommendations
