symbol,period,eps
HON,2025Q4,
HON,2025Q3,
HON,2025Q2,2.45
HON,2025Q1,2.22
HON,2024Q4,1.96
HON,2024Q3,2.16
CAT,2025Q4,
CAT,2025Q3,
CAT,2025Q2,4.62
CAT,2025Q1,4.2
CAT,2024Q4,5.78
CAT,2024Q3,5.06
LMT,2025Q4,
LMT,2025Q3,
LMT,2025Q2,1.46
LMT,2025Q1,7.28
LMT,2024Q4,2.22
LMT,2024Q3,6.8
INTU,2025Q4,
INTU,2025Q3,1.35
INTU,2025Q2,10.02
INTU,2025Q1,1.67
INTU,2024Q4,0.7
INTU,2024Q3,-0.07
GE,2025Q4,
GE,2025Q3,
GE,2025Q2,1.89
GE,2025Q1,1.83
GE,2024Q4,1.75
GE,2024Q3,1.7
QCOM,2025Q4,
QCOM,2025Q3,
QCOM,2025Q2,2.43
QCOM,2025Q1,2.52
QCOM,2024Q4,2.83
QCOM,2024Q3,2.59
RTX,2025Q4,
RTX,2025Q3,
RTX,2025Q2,1.22
RTX,2025Q1,1.14
RTX,2024Q4,1.1
RTX,2024Q3,1.09
COP,2025Q4,
COP,2025Q3,
COP,2025Q2,1.56
COP,2025Q1,2.23
COP,2024Q4,1.9
COP,2024Q3,1.76
BMY,2025Q4,
BMY,2025Q3,
BMY,2025Q2,0.64
BMY,2025Q1,1.2
BMY,2024Q4,0.04
BMY,2024Q3,0.6
PM,2025Q4,
PM,2025Q3,
PM,2025Q2,1.95
PM,2025Q1,1.72
PM,2024Q4,-0.38
PM,2024Q3,1.97
SBUX,2025Q4,
SBUX,2025Q3,
SBUX,2025Q2,0.49
SBUX,2025Q1,0.338145
SBUX,2024Q4,0.687445
SBUX,2024Q3,0.8
DE,2025Q4,
DE,2025Q3,4.75
DE,2025Q2,6.64
DE,2025Q1,3.19
DE,2024Q4,4.55
DE,2024Q3,6.29
UPS,2025Q4,
UPS,2025Q3,
UPS,2025Q2,1.51
UPS,2025Q1,1.4
UPS,2024Q4,2.01
UPS,2024Q3,1.8
SCHW,2025Q4,
SCHW,2025Q3,
SCHW,2025Q2,1.08
SCHW,2025Q1,0.99
SCHW,2024Q4,0.94
SCHW,2024Q3,0.71
AMGN,2025Q4,
AMGN,2025Q3,
AMGN,2025Q2,2.65
AMGN,2025Q1,3.2
AMGN,2024Q4,1.16
AMGN,2024Q3,5.22
BKNG,2025Q4,
BKNG,2025Q3,
BKNG,2025Q2,27.43
BKNG,2025Q1,10.07
BKNG,2024Q4,31.95
BKNG,2024Q3,74.34
C,2025Q4,
C,2025Q3,
C,2025Q2,1.96
C,2025Q1,1.96
C,2024Q4,1.34
C,2024Q3,1.51
GS,2025Q4,
GS,2025Q3,
GS,2025Q2,10.91
GS,2025Q1,14.12
GS,2024Q4,11.95
GS,2024Q3,8.4
BA,2025Q4,
BA,2025Q3,
BA,2025Q2,-0.92
BA,2025Q1,-0.16
BA,2024Q4,-5.46
BA,2024Q3,-9.97
ADI,2025Q4,
ADI,2025Q3,1.04
ADI,2025Q2,1.14
ADI,2025Q1,0.78
ADI,2024Q4,0.96
ADI,2024Q3,0.79
MDT,2025Q4,
MDT,2025Q3,0.81
MDT,2025Q2,0.82
MDT,2025Q1,1.01
MDT,2024Q4,0.99
MDT,2024Q3,0.8
BLK,2025Q4,
BLK,2025Q3,
BLK,2025Q2,10.19
BLK,2025Q1,9.64
BLK,2024Q4,10.63
BLK,2024Q3,10.9
MO,2025Q4,
MO,2025Q3,
MO,2025Q2,1.41
MO,2025Q1,0.63
MO,2024Q4,1.79
MO,2024Q3,1.34
USB,2025Q4,
USB,2025Q3,
USB,2025Q2,1.11
USB,2025Q1,1.03
USB,2024Q4,1.01
USB,2024Q3,1.03
TJX,2025Q4,
TJX,2025Q3,1.1
TJX,2025Q2,0.92
TJX,2025Q1,1.23
TJX,2024Q4,1.14
TJX,2024Q3,0.96
MS,2025Q4,
MS,2025Q3,
MS,2025Q2,2.13
MS,2025Q1,2.6
MS,2024Q4,2.22
MS,2024Q3,1.88
LOW,2025Q4,
LOW,2025Q3,4.27
LOW,2025Q2,2.92
LOW,2025Q1,1.99
LOW,2024Q4,2.99
LOW,2024Q3,4.17
GILD,2025Q4,
GILD,2025Q3,
GILD,2025Q2,1.56
GILD,2025Q1,1.04
GILD,2024Q4,1.42
GILD,2024Q3,1.0
CME,2025Q4,
CME,2025Q3,
CME,2025Q2,2.81
CME,2025Q1,2.62
CME,2024Q4,2.4
CME,2024Q3,2.5
CL,2025Q4,
CL,2025Q3,
CL,2025Q2,0.91
CL,2025Q1,0.85
CL,2024Q4,0.9
CL,2024Q3,0.9
SO,2025Q4,
SO,2025Q3,
SO,2025Q2,0.79
SO,2025Q1,1.21
SO,2024Q4,0.48
SO,2024Q3,1.39
SPGI,2025Q4,
SPGI,2025Q3,
SPGI,2025Q2,3.5
SPGI,2025Q1,3.54
SPGI,2024Q4,2.85
SPGI,2024Q3,3.11
EOG,2025Q4,
EOG,2025Q3,
EOG,2025Q2,2.46
EOG,2025Q1,2.65
EOG,2024Q4,2.23
EOG,2024Q3,2.95
NOW,2025Q4,
NOW,2025Q3,
NOW,2025Q2,1.84
NOW,2025Q1,2.2
NOW,2024Q4,1.83
NOW,2024Q3,2.07
PLD,2025Q4,
PLD,2025Q3,
PLD,2025Q2,0.61
PLD,2025Q1,0.63
PLD,2024Q4,
PLD,2024Q3,1.08
ELV,2025Q4,
ELV,2025Q3,
ELV,2025Q2,7.72
ELV,2025Q1,9.61
ELV,2024Q4,1.81
ELV,2024Q3,4.36
MMC,2025Q4,
MMC,2025Q3,
MMC,2025Q2,2.45
