symbol,pt_mean,pt_median,pt_high,pt_low,pt_count,rec_mean,last_update,recency_days,source
KO,85.71217,87.0,92.0,71.38,23.0,1.75,1970-01-01,20591.0,yfinance.info/recommendations
KOD,62.66667,59.5,80.0,56.0,6.0,1.14286,1970-01-01,20591.0,yfinance.info/recommendations
KOPN,7.625,6.75,10.0,6.0,6.0,1.0,1970-01-01,20591.0,yfinance.info/recommendations
KR,75.54545,75.5,86.0,61.0,22.0,2.08333,1970-01-01,20591.0,yfinance.info/recommendations
KRMD,6.8,7.0,8.0,5.0,5.0,1.4,1970-01-01,20591.0,yfinance.info/recommendations
KRNY,9.0,9.0,9.5,8.5,2.0,,1970-01-01,20591.0,yfinance.info/recommendations
KRO,5.5,5.5,6.0,5.0,2.0,,1970-01-01,20591.0,yfinance.info/recommendations
KRRO,20.375,22.0,30.0,8.0,8.0,1.44444,1970-01-01,20591.0,yfinance.info/recommendations
KRYS,322.77777,310.0,399.0,241.0,9.0,1.18182,1970-01-01,20591.0,yfinance.info/recommendations
KSS,16.95833,15.0,41.0,8.0,12.0,3.30769,1970-01-01,20591.0,yfinance.info/recommendations
KT,23.03923,22.53846,26.0,21.08,4.0,2.0,1970-01-01,20591.0,yfinance.info/recommendations
KTOS,111.95,111.0,150.0,75.0,20.0,1.57895,1970-01-01,20591.0,yfinance.info/recommendations
KTTA,3.0,3.0,3.0,3.0,1.0,,1970-01-01,20591.0,yfinance.info/recommendations
KURA,31.16667,28.0,76.0,15.0,12.0,1.26667,1970-01-01,20591.0,yfinance.info/recommendations
KVHI,,,,,,0.0,1970-01-01,20591.0,yfinance.info/recommendations
KVUE,19.50027,19.0,23.0,18.0,12.0,2.78571,1970-01-01,20591.0,yfinance.info/recommendations
L,,,,,,,,,yfinance.info/recommendations
LAD,371.73334,376.0,449.0,300.0,15.0,1.73333,1970-01-01,20591.0,yfinance.info/recommendations
LARK,,,,,,,,,yfinance.info/recommendations
LASE,,,,,,,,,yfinance.info/recommendations
LAW,6.66667,6.0,10.0,4.0,3.0,2.0,1970-01-01,20591.0,yfinance.info/recommendations
LAZ,52.375,51.0,62.0,43.0,8.0,2.7,1970-01-01,20591.0,yfinance.info/recommendations
LBRDK,70.66667,54.0,115.0,43.0,3.0,1.66667,1970-01-01,20591.0,yfinance.info/recommendations
LBRT,33.07692,32.0,40.0,21.0,13.0,2.0,1970-01-01,20591.0,yfinance.info/recommendations
LBRX,44.0,38.0,78.0,31.0,6.0,1.16667,1970-01-01,20591.0,yfinance.info/recommendations
LCNB,17.5,17.5,18.0,17.0,2.0,3.0,1970-01-01,20591.0,yfinance.info/recommendations
LCUT,8.33333,8.0,11.0,6.0,3.0,2.0,1970-01-01,20591.0,yfinance.info/recommendations
LDI,1.8,1.8,2.1,1.5,2.0,3.75,1970-01-01,20591.0,yfinance.info/recommendations
LDOS,187.7857,189.0,225.0,160.0,14.0,2.125,1970-01-01,20591.0,yfinance.info/recommendations
LEE,,,,,,,,,yfinance.info/recommendations
LEN,91.5,89.0,124.0,74.0,14.0,3.42105,1970-01-01,20591.0,yfinance.info/recommendations
LENZ,32.0,,,,,1.28571,1970-01-01,20591.0,yfinance.info/recommendations
LESL,2.7,3.0,3.5,1.6,3.0,2.33333,1970-01-01,20591.0,yfinance.info/recommendations
LEVI,27.0,27.0,34.0,23.0,15.0,1.6,1970-01-01,20591.0,yfinance.info/recommendations
LFMD,9.875,10.0,15.0,8.0,8.0,1.0,1970-01-01,20591.0,yfinance.info/recommendations
LFST,10.72222,11.0,13.0,9.0,9.0,1.4,1970-01-01,20591.0,yfinance.info/recommendations
LFT,,,,,,3.0,1970-01-01,20591.0,yfinance.info/recommendations
LFVN,7.0,7.0,9.0,5.0,2.0,2.0,1970-01-01,20591.0,yfinance.info/recommendations
LGIH,67.0,67.0,93.0,41.0,2.0,,1970-01-01,20591.0,yfinance.info/recommendations
LGND,271.8,272.5,330.0,220.0,10.0,1.22222,1970-01-01,20591.0,yfinance.info/recommendations
LH,310.0588,320.0,340.0,270.0,17.0,1.57895,1970-01-01,20591.0,yfinance.info/recommendations
LHAI,,,,,,,,,yfinance.info/recommendations
LHX,381.94736,390.0,443.0,300.0,19.0,1.61905,1970-01-01,20591.0,yfinance.info/recommendations
LIF,62.7,64.0,76.0,40.0,9.0,1.63636,1970-01-01,20591.0,yfinance.info/recommendations
LII,567.0625,566.5,650.0,450.0,16.0,2.5,1970-01-01,20591.0,yfinance.info/recommendations
LILA,11.9,13.0,14.7,8.0,3.0,1.66667,1970-01-01,20591.0,yfinance.info/recommendations
LILAK,8.3,8.3,9.5,7.1,2.0,,1970-01-01,20591.0,yfinance.info/recommendations
LIN,541.6092,550.0,600.0,400.0,25.0,1.66667,1970-01-01,20591.0,yfinance.info/recommendations
LIND,24.0,25.0,27.0,17.0,5.0,1.4,1970-01-01,20591.0,yfinance.info/recommendations
LINE,41.26316,40.0,63.0,34.0,19.0,2.75,1970-01-01,20591.0,yfinance.info/recommendations
LITS,,,,,,,,,yfinance.info/recommendations
LIXT,,,,,,,,,yfinance.info/recommendations
LKFN,65.5,65.5,67.0,64.0,4.0,,1970-01-01,20591.0,yfinance.info/recommendations
LKQ,40.8125,41.0,47.5,33.0,8.0,1.77778,1970-01-01,20591.0,yfinance.info/recommendations
LLY,1210.0,1250.0,1500.0,850.0,29.0,1.70968,1970-01-01,20591.0,yfinance.info/recommendations
LLYVA,,,,,,,,,yfinance.info/recommendations
LMAT,118.75,120.0,135.0,102.0,8.0,2.11111,1970-01-01,20591.0,yfinance.info/recommendations
LMB,115.6,110.0,156.0,90.0,5.0,1.6,1970-01-01,20591.0,yfinance.info/recommendations
LMNR,22.33333,19.0,31.0,17.0,3.0,,1970-01-01,20591.0,yfinance.info/recommendations
LMT,637.6,645.0,756.0,511.0,20.0,2.54545,1970-01-01,20591.0,yfinance.info/recommendations
LNAI,,,,,,,,,yfinance.info/recommendations
LNG,303.22726,307.0,340.0,259.0,22.0,1.43478,1970-01-01,20591.0,yfinance.info/recommendations
LNT,79.125,80.25,85.0,74.0,12.0,1.84615,1970-01-01,20591.0,yfinance.info/recommendations
LOAN,,,,,,,1970-01-01,20591.0,yfinance.info/recommendations
LOCL,,,,,,,,,yfinance.info/recommendations
LOVE,24.16667,23.0,35.0,18.0,6.0,,1970-01-01,20591.0,yfinance.info/recommendations
