symbol,sector,last_price,intrinsic_value,margin_%,pt_mean,pt_median,pt_high,pt_low,pt_count,rec_mean,last_update,source
APCS,Industrials,1.4600000381469729,-1.8641409436568837,-227.68088321578713,,,,,,,,yfinance.info/recommendations
APO,Consumer Defensive,2.200000047683716,3.827002906900791,73.95467381603358,,,,,,,,yfinance.info/recommendations
APP,Technology,2.7799999713897705,6.9141766362506845,148.7113923527908,,,,,,,,yfinance.info/recommendations
APURE,Consumer Defensive,2.119999885559082,-0.4114040326300904,-119.40585164331723,,,,,,,,yfinance.info/recommendations
AQUA,Communication Services,0.1199999973177909,-0.6213204940327962,-617.7670899336601,,,,,,,,yfinance.info/recommendations
ARIN,Real Estate,0.5299999713897705,-0.5916655344721655,-211.63501253041485,,,,,,,,yfinance.info/recommendations
ARIP,Industrials,0.4399999976158142,0.43537943424302555,-1.0501280449603771,,,,,,,,yfinance.info/recommendations
ARROW,Industrials,5.300000190734863,8.951119739102477,68.88904560324882,6.4,6.4,6.4,6.4,1.0,,,yfinance.info/recommendations
AS,Communication Services,2.720000028610229,3.4867767700210415,28.190321078878565,,,,,,,,yfinance.info/recommendations
ASAP,Industrials,1.2000000476837158,11.71947040123049,876.6224946283829,,,,,,,,yfinance.info/recommendations
ASEFA,Industrials,4.139999866485596,4.938165926718503,19.27937405733452,,,,,,,,yfinance.info/recommendations
ASIA,Consumer Cyclical,5.5,2.8981175857375288,-47.30695298659038,,,,,,,,yfinance.info/recommendations
ASIAN,Consumer Defensive,7.0,21.41269242857024,205.89560612243196,,,,,,,,yfinance.info/recommendations
ASIMAR,Industrials,1.4500000476837158,3.6394186360413117,150.99438043847343,,,,,,,,yfinance.info/recommendations
ASK,Financial Services,8.449999809265137,10.46567028676141,23.85408902951879,10.1,11.0,12.0,7.3,3.0,,1970-01-01,yfinance.info/recommendations
ASN,Financial Services,0.6499999761581421,1.1410297397514693,75.54304332372188,,,,,,,,yfinance.info/recommendations
ASP,Financial Services,2.0799999237060547,2.681917001755795,28.938322121535,,,,,,,,yfinance.info/recommendations
ASW,Real Estate,7.349999904632568,8.451401462962354,14.98505540980473,8.31667,8.45,9.0,7.5,3.0,,1970-01-01,yfinance.info/recommendations
ATP30,Industrials,0.800000011920929,1.8223239269720193,127.79048747715964,1.38,1.38,1.38,1.38,1.0,,1970-01-01,yfinance.info/recommendations
AU,Consumer Cyclical,4.699999809265137,8.127724471465367,72.93031492135674,5.7,6.2,6.6,4.3,3.0,,1970-01-01,yfinance.info/recommendations
AUCT,Consumer Cyclical,4.940000057220459,10.290078807478109,108.30118802200836,6.6,6.6,6.6,6.6,1.0,,1970-01-01,yfinance.info/recommendations
AURA,Consumer Cyclical,13.5,-6.180634227149811,-145.78247575666526,19.86667,19.8,21.4,18.4,3.0,,1970-01-01,yfinance.info/recommendations
AWC,Consumer Cyclical,2.180000066757202,1.3461632340872112,-38.24939482274152,2.62667,2.435,4.7,1.9,12.0,2.5,1970-01-01,yfinance.info/recommendations
AXTRART,Real Estate,13.0,2.019297957003529,-84.46693879228054,14.475,14.475,14.65,14.3,2.0,2.5,1970-01-01,yfinance.info/recommendations
AYUD,Financial Services,37.75,6.554749191127303,-82.63642598376873,,,,,,,,yfinance.info/recommendations
B,Industrials,0.0399999991059303,-0.39393849466597214,-1084.8462586779601,,,,,,,,yfinance.info/recommendations
B-WORK,Unknown,4.08,7.13591792353376,74.8999491062196,,,,,,,,yfinance.info/recommendations
B52,Real Estate,0.2199999988079071,0.0,-100.0,,,,,,,,yfinance.info/recommendations
BA,Industrials,13.699999809265137,27.618275755966614,101.59325649981925,20.96667,20.0,28.0,16.5,9.0,1.11111,1970-01-01,yfinance.info/recommendations
BAFS,Industrials,8.449999809265137,4.97120796111094,-41.16913522695965,,,,,,,,yfinance.info/recommendations
BAM,Financial Services,7.050000190734863,-4.571060993905147,-164.83774284024065,7.925,7.95,9.5,6.4,8.0,2.33333,1970-01-01,yfinance.info/recommendations
BANPU,Energy,5.449999809265137,-0.10458094969795913,-101.91891657537617,6.83333,7.05,7.7,5.5,6.0,1.5,1970-01-01,yfinance.info/recommendations
BAREIT,Real Estate,10.600000381469728,2.772899425896298,-73.8405723952264,,,,,,,,yfinance.info/recommendations
BAY,Financial Services,28.25,6.536052320826068,-76.86353160769535,27.5,27.5,28.0,27.0,2.0,2.5,1970-01-01,yfinance.info/recommendations
BBGI,Basic Materials,3.9600000381469727,3.17173829809024,-19.90559930463003,5.8,5.8,5.8,5.8,1.0,,1970-01-01,yfinance.info/recommendations
BBIK,Industrials,19.100000381469727,37.400613839835266,95.81472823487623,26.38,25.5,28.6,24.3,5.0,1.0,1970-01-01,yfinance.info/recommendations
BBL,Financial Services,163.0,62.17985904011446,-61.85284721465371,174.21053,180.0,201.0,120.0,19.0,2.89474,1970-01-01,yfinance.info/recommendations
BC,Real Estate,0.7300000190734863,-4.139430710315092,-667.045287967094,,,,,,,,yfinance.info/recommendations
BCH,Healthcare,9.850000381469728,13.157208356527146,33.57571418249982,12.58,12.9,14.4,10.0,15.0,1.53333,1970-01-01,yfinance.info/recommendations
BCP,Energy,35.75,40.976275923881936,14.618953633236185,43.33846,43.0,54.0,34.0,13.0,1.46154,1970-01-01,yfinance.info/recommendations
BCPG,Utilities,7.099999904632568,1.4666015174219862,-79.34364032223344,10.53333,10.5,12.0,9.2,6.0,,1970-01-01,yfinance.info/recommendations
BCT,Basic Materials,47.0,46.61126648729278,-0.8270925802281257,,,,,,,,yfinance.info/recommendations
BDMS,Healthcare,18.600000381469727,14.490527043037243,-22.09394222661711,25.525,25.0,32.0,20.0,22.0,1.3913,1970-01-01,yfinance.info/recommendations
BE8,Technology,5.5,9.029425988811008,64.1713816147456,6.3,6.0,6.9,6.0,3.0,,1970-01-01,yfinance.info/recommendations
BEAUTY,Consumer Cyclical,0.3499999940395355,0.0015393968314100328,-99.56017232639263,,,,,,,,yfinance.info/recommendations
BEC,Communication Services,1.899999976158142,5.45786919916593,187.25627724490332,2.63667,2.34,4.0,1.57,3.0,,1970-01-01,yfinance.info/recommendations
