symbol,sector,model,intrinsic_value,last_price,w
AAPL,Technology,eps_dcf,29.903751240380544,262.82000732421875,0.3979951916066018
ABBV,Healthcare,eps_dcf,99.28307403832552,227.9900054931641,0.41154282915270607
ACN,Technology,eps_dcf,268.90589219090657,247.6499938964844,0.3979951916066018
ADBE,Technology,eps_dcf,128.68638770776914,353.5199890136719,0.3979951916066018
AEM,Basic Materials,eps_dcf,20.82890510440628,163.35000610351562,0.2882041020200995
AGI,Basic Materials,eps_dcf,2.9401345640573497,31.549999237060547,0.2882041020200995
AMAT,Technology,eps_dcf,47.3099315101473,228.75,0.3979951916066018
AMD,Technology,eps_dcf,5.052146367079421,252.9199981689453,0.3979951916066018
AMZN,Consumer Cyclical,eps_dcf,28.6689952131658,224.2100067138672,0.48612708584391856
AU,Basic Materials,eps_dcf,13.319163808259804,68.56999969482422,0.2882041020200995
AVGO,Technology,eps_dcf,12.8340731277824,354.1300048828125,0.3979951916066018
BAC,Financial Services,eps_dcf,28.45231574557321,52.56999969482422,0.6572245963666801
BRK-B,Financial Services,eps_dcf,1601.7502827065566,492.1000061035156,0.6572245963666801
BTG,Basic Materials,eps_dcf,,5.210000038146973,0.2882041020200995
CAT,Industrials,eps_dcf,594.080725579477,522.72998046875,0.486352966597407
COST,Consumer Defensive,eps_dcf,150.07035698736593,932.1400146484376,0.4009846916833756
CRM,Technology,eps_dcf,32.98069075312712,254.8300018310547,0.3979951916066018
CSCO,Technology,eps_dcf,16.865384512894135,70.62999725341797,0.3979951916066018
CVX,Energy,eps_dcf,361.9400662387173,155.55999755859375,0.050698752932729484
DHR,Healthcare,eps_dcf,188.4784230735274,223.00999450683597,0.41154282915270607
FNV,Basic Materials,eps_dcf,14.417286356281222,190.1000061035156,0.2882041020200995
GOOG,Communication Services,eps_dcf,40.65801520405126,260.510009765625,0.42478079883450887
GOOGL,Communication Services,eps_dcf,40.65801520405126,259.9200134277344,0.42478079883450887
HD,Consumer Cyclical,eps_dcf,226.5249894768816,386.6799926757813,0.48612708584391856
HON,Industrials,eps_dcf,98.72145479158657,216.13999938964844,0.486352966597407
IBM,Technology,eps_dcf,21.82075772842563,307.4599914550781,0.3979951916066018
INTC,Technology,eps_dcf,,38.27999877929688,0.3979951916066018
JNJ,Healthcare,eps_dcf,33.12079298064605,190.3999938964844,0.41154282915270607
JPM,Financial Services,eps_dcf,372.25983738009006,300.44000244140625,0.6572245963666801
KGC,Basic Materials,eps_dcf,4.128855014802343,23.940000534057617,0.2882041020200995
KO,Consumer Defensive,eps_dcf,9.98937285619485,69.70999908447266,0.4009846916833756
LIN,Basic Materials,eps_dcf,127.0307026021918,446.0,0.2882041020200995
LLY,Healthcare,eps_dcf,54.19766124105717,825.4500122070312,0.41154282915270607
MA,Financial Services,eps_dcf,127.11604858293036,573.6699829101562,0.6572245963666801
MCD,Consumer Cyclical,eps_dcf,153.23245157078878,305.7900085449219,0.48612708584391856
META,Communication Services,eps_dcf,117.52007327829782,738.3599853515625,0.42478079883450887
MRK,Healthcare,eps_dcf,92.35924106764882,87.48999786376953,0.41154282915270607
MSFT,Technology,eps_dcf,82.92072954607656,523.6099853515625,0.3979951916066018
NEM,Basic Materials,eps_dcf,19.730782556384867,83.37000274658203,0.2882041020200995
NFLX,Communication Services,eps_dcf,71.76933994505276,1094.68994140625,0.42478079883450887
NKE,Consumer Cyclical,eps_dcf,81.57623986068093,69.11000061035156,0.48612708584391856
NVDA,Technology,eps_dcf,9.806323895475275,186.25999450683597,0.3979951916066018
OR,Basic Materials,eps_dcf,1.0440757046447005,33.349998474121094,0.2882041020200995
ORCL,Technology,eps_dcf,71.68489878127033,283.3299865722656,0.3979951916066018
PAAS,Basic Materials,eps_dcf,3.777896625506672,36.34000015258789,0.2882041020200995
PEP,Consumer Defensive,eps_dcf,259.55432212876525,151.5500030517578,0.4009846916833756
PFE,Healthcare,eps_dcf,6.659581904129902,24.76000022888184,0.41154282915270607
PG,Consumer Defensive,eps_dcf,63.2635429255741,152.49000549316406,0.4009846916833756
PM,Consumer Defensive,eps_dcf,36.63696395414887,157.6199951171875,0.4009846916833756
QCOM,Technology,eps_dcf,65.76262963764415,168.94000244140625,0.3979951916066018
RGLD,Basic Materials,eps_dcf,22.7417637364436,182.47000122070312,0.2882041020200995
TMO,Healthcare,eps_dcf,226.34268754935107,572.5,0.41154282915270607
TSLA,Consumer Cyclical,eps_dcf,60.56136055945437,433.7200012207031,0.48612708584391856
TXN,Technology,eps_dcf,58.34721485603685,169.1300048828125,0.3979951916066018
UNH,Healthcare,eps_dcf,495.20206911286107,362.5,0.41154282915270607
UPS,Industrials,eps_dcf,183.99172292901036,87.22000122070312,0.486352966597407
V,Financial Services,eps_dcf,120.59607133627084,347.3800048828125,0.6572245963666801
WFC,Financial Services,eps_dcf,41.19467874085648,86.41000366210938,0.6572245963666801
WMT,Consumer Defensive,eps_dcf,9.422599928183793,106.16999816894533,0.4009846916833756
WPM,Basic Materials,eps_dcf,6.4151610789251325,98.1500015258789,0.2882041020200995
XOM,Energy,eps_dcf,307.0411385234754,115.38999938964844,0.050698752932729484
AAPL,Technology,fcf_dcf,96.36826902644188,262.82000732421875,0.6020048083933982
ABBV,Healthcare,fcf_dcf,173.91781701975947,227.9900054931641,0.588457170847294
ACN,Technology,fcf_dcf,217.4675744695049,247.6499938964844,0.6020048083933982
ADBE,Technology,fcf_dcf,266.8968153845335,353.5199890136719,0.6020048083933982
AEM,Basic Materials,fcf_dcf,102.9657525580333,163.35000610351562,0.7117958979799005
