symbol,sector,last_price,intrinsic_value,margin_%,pt_mean,pt_median,pt_high,pt_low,pt_count,rec_mean,last_update,source
AEE,Utilities,97.25,9.694741643400935,-90.03111399136151,112.57143,112.5,125.0,98.0,14.0,1.93333,1970-01-01,yfinance.info/recommendations
AEHR,Technology,26.43000030517578,-1.3560710351797614,-105.13080219266664,24.0,24.0,24.0,24.0,2.0,,1970-01-01,yfinance.info/recommendations
AEM,Basic Materials,170.39999389648438,88.68305377428042,-47.95595249366373,197.08333,199.0,255.0,70.0,12.0,1.75,1970-01-01,yfinance.info/recommendations
AENT,Communication Services,7.599999904632568,2.4804579516432486,-67.36239496356717,10.33333,10.0,11.0,10.0,3.0,1.33333,1970-01-01,yfinance.info/recommendations
AEP,Utilities,114.26000213623048,16.98342735868237,-85.13615697430735,128.55882,128.0,139.0,114.0,17.0,2.36364,1970-01-01,yfinance.info/recommendations
AES,Utilities,14.0,35.59010432416718,154.2150308869084,15.29167,15.5,24.0,8.5,12.0,2.28571,1970-01-01,yfinance.info/recommendations
AESI,Energy,10.449999809265137,2.5343241636956764,-75.74809368466491,12.22727,12.0,20.0,7.0,11.0,,1970-01-01,yfinance.info/recommendations
AFBI,Financial Services,20.43000030517578,2.39253142567037,-88.28912682363377,,,,,,,,yfinance.info/recommendations
AFL,Financial Services,108.8499984741211,15.936339757073943,-85.35935693112317,111.08333,110.5,127.0,100.0,12.0,2.91667,1970-01-01,yfinance.info/recommendations
AGCO,Industrials,108.86000061035156,39.98751287992015,-63.26702860948016,119.57143,117.5,145.0,102.0,14.0,2.625,1970-01-01,yfinance.info/recommendations
AGEN,Healthcare,4.079999923706055,-4.400312621793407,-207.85080157051564,12.33333,8.0,23.0,6.0,3.0,,1970-01-01,yfinance.info/recommendations
AGH,Consumer Cyclical,4.090000152587891,0.12957277115687962,-96.83196170359813,,,,,,,,yfinance.info/recommendations
AGIO,Healthcare,27.459999084472656,16.11767805808948,-41.30488494006078,32.125,32.0,48.0,20.0,8.0,1.6,1970-01-01,yfinance.info/recommendations
AGM,Financial Services,184.5399932861328,93.05124040990434,-49.57665341104321,226.66667,226.0,235.0,219.0,3.0,2.0,1970-01-01,yfinance.info/recommendations
AGO,Financial Services,89.87000274658203,80.5430141060096,-10.378311289110497,107.0,109.0,116.0,94.0,4.0,,1970-01-01,yfinance.info/recommendations
AHR,Real Estate,46.70000076293945,6.200712693655213,-86.72224284292513,56.08333,55.5,60.0,52.0,12.0,1.58333,1970-01-01,yfinance.info/recommendations
AHT,Real Estate,4.570000171661377,0.0,-100.0,,,,,,,1970-01-01,yfinance.info/recommendations
AI,Technology,15.920000076293944,-9.268069087257057,-158.21651408819963,14.66667,15.0,24.0,8.0,12.0,3.42857,1970-01-01,yfinance.info/recommendations
AIG,Financial Services,82.8499984741211,12.331241519046161,-85.11618377048259,87.52632,88.0,97.0,79.0,19.0,2.42857,1970-01-01,yfinance.info/recommendations
AII,Financial Services,20.270000457763672,8.856313736542633,-56.308270663355856,27.0,27.5,29.0,24.0,4.0,,1970-01-01,yfinance.info/recommendations
AIMD,Technology,2.200000047683716,-8.515270184388921,-487.0577272647916,,,,,,,,yfinance.info/recommendations
AIN,Consumer Cyclical,53.08000183105469,7.705932052277998,-85.48241939251476,53.5,52.5,64.0,45.0,4.0,,1970-01-01,yfinance.info/recommendations
AIRE,Real Estate,0.5180000066757202,-0.3970612347104198,-176.652747025733,1.73333,2.0,2.6,0.6,3.0,2.33333,1970-01-01,yfinance.info/recommendations
AISP,Technology,3.2799999713897705,3.3167185515398145,1.1194689167782519,8.0,8.0,8.0,8.0,1.0,1.0,1970-01-01,yfinance.info/recommendations
AIT,Industrials,262.8399963378906,118.75773392668597,-54.81747999493255,304.16666,302.5,320.0,290.0,6.0,1.5,1970-01-01,yfinance.info/recommendations
AIZ,Financial Services,228.0200042724609,34.18199245544711,-85.0092133080556,253.66667,253.0,265.0,246.0,6.0,1.57143,1970-01-01,yfinance.info/recommendations
AJG,Financial Services,247.6199951171875,112.6494638985495,-54.507121347273454,308.4,295.0,388.0,250.0,15.0,1.94444,1970-01-01,yfinance.info/recommendations
AKAM,Technology,85.44999694824219,34.56342531715682,-59.551285486771654,96.09091,90.0,134.0,66.0,22.0,2.375,1970-01-01,yfinance.info/recommendations
AKO-B,Consumer Defensive,27.040000915527344,21993.6899176136,81237.60788811227,29.338387,30.49721,34.358047,23.624865,6.0,2.0,1970-01-01,yfinance.info/recommendations
AKRO,Healthcare,54.65,0.0,-100.0,56.5,57.0,58.0,54.0,4.0,2.66667,1970-01-01,yfinance.info/recommendations
AL,Industrials,63.959999084472656,-66.61634815707818,-204.1531411986064,66.0,65.0,68.0,65.0,3.0,,1970-01-01,yfinance.info/recommendations
ALB,Basic Materials,134.58999633789062,11.664280533616767,-91.33347139386692,112.7513,109.0,200.0,58.0,23.0,2.5,1970-01-01,yfinance.info/recommendations
ALCO,Consumer Defensive,37.25,-1.5179683552952055,-104.07508283300726,43.0,43.0,44.0,42.0,2.0,,1970-01-01,yfinance.info/recommendations
ALGM,Technology,28.479999542236328,0.9681994609458303,-96.60042318641904,38.58333,37.0,49.0,35.0,12.0,,1970-01-01,yfinance.info/recommendations
ALGN,Healthcare,163.8699951171875,120.51004690204165,-26.459967966764186,179.8,175.0,220.0,150.0,15.0,2.16667,1970-01-01,yfinance.info/recommendations
ALIT,Technology,2.130000114440918,-12.303161718479783,-677.6131951856311,5.71429,6.0,8.0,4.0,7.0,1.42857,1970-01-01,yfinance.info/recommendations
ALL,Financial Services,206.82000732421875,64.2654745556154,-68.92685800224808,236.6,242.0,300.0,157.0,20.0,1.86957,1970-01-01,yfinance.info/recommendations
ALLR,Healthcare,1.149999976158142,0.0,-100.0,9.5,9.5,9.5,9.5,1.0,1.0,1970-01-01,yfinance.info/recommendations
ALRM,Technology,52.77000045776367,35.143691645962626,-33.4021388267921,66.71429,65.0,85.0,55.0,7.0,2.25,1970-01-01,yfinance.info/recommendations
ALSN,Consumer Cyclical,99.47000122070312,143.24679671714546,44.010048214748466,101.7,98.5,134.0,77.0,10.0,2.4,1970-01-01,yfinance.info/recommendations
ALTO,Basic Materials,2.559999942779541,-1.9119534594509797,-174.685683679159,4.25,4.25,5.5,3.0,2.0,,1970-01-01,yfinance.info/recommendations
ALTS,Technology,1.5199999809265137,0.0,-100.0,,,,,,,1970-01-01,yfinance.info/recommendations
ALUR,Healthcare,1.659999966621399,0.0,-100.0,5.25,5.25,8.0,2.5,2.0,2.0,1970-01-01,yfinance.info/recommendations
AM,Energy,18.059999465942383,11.683105448237303,-35.309491729114676,18.64286,19.0,20.0,17.0,7.0,3.375,1970-01-01,yfinance.info/recommendations
AMAL,Financial Services,32.290000915527344,26.879698355511227,-16.75534966434286,32.0,32.0,36.0,28.0,2.0,,1970-01-01,yfinance.info/recommendations
AMAT,Technology,270.1099853515625,66.85847379566454,-75.24768523139022,248.4375,252.5,315.0,180.0,32.0,1.92105,1970-01-01,yfinance.info/recommendations
AMBQ,Technology,30.15999984741211,-4.036708600686132,-113.38431240420748,38.75,37.5,48.0,32.0,4.0,,1970-01-01,yfinance.info/recommendations
AMCX,Communication Services,9.979999542236328,99.07976175455423,892.7832294504528,7.07143,6.0,10.0,5.5,7.0,,1970-01-01,yfinance.info/recommendations
AMD,Technology,221.42999267578125,21.06903636754614,-90.48501239017087,283.56512,290.0,380.0,178.0,43.0,1.54902,1970-01-01,yfinance.info/recommendations
AMG,Financial Services,280.1600036621094,138.19713405777833,-50.672068728106964,316.42856,296.0,433.0,214.0,7.0,1.57143,1970-01-01,yfinance.info/recommendations
AMGN,Healthcare,317.3800048828125,150.5371799861665,-52.568788937491526,326.80963,325.0,425.0,180.0,27.0,2.40625,1970-01-01,yfinance.info/recommendations
AMIX,Healthcare,0.7710000276565552,-14.012984472751992,-1917.5076485203615,6.6,6.6,8.2,5.0,2.0,,1970-01-01,yfinance.info/recommendations
AMOD,Technology,0.6690000295639038,0.0,-100.0,,,,,,,,yfinance.info/recommendations
AMP,Financial Services,498.6099853515625,69.1112854489793,-86.13920950655452,538.5,540.0,653.0,434.0,10.0,2.46154,1970-01-01,yfinance.info/recommendations
AMPL,Technology,11.289999961853027,-1.8444313184702208,-116.3368585004627,15.33333,16.0,19.0,12.0,9.0,,1970-01-01,yfinance.info/recommendations
AMRK,Financial Services,31.3799991607666,37.35060375074022,19.026783778370753,41.75,37.0,63.0,30.0,4.0,,1970-01-01,yfinance.info/recommendations
AMRX,Healthcare,12.25,3.467033831224001,-71.69768301041633,13.8,14.0,15.0,13.0,5.0,1.6,1970-01-01,yfinance.info/recommendations
AMT,Real Estate,181.7100067138672,18.08311139160289,-90.04836788098423,228.52632,230.0,260.0,200.0,19.0,1.77273,1970-01-01,yfinance.info/recommendations
AMTB,Financial Services,20.489999771118164,41.1372537696164,100.76746817538637,21.25,21.5,22.0,20.0,4.0,,1970-01-01,yfinance.info/recommendations
AMTM,Industrials,30.1299991607666,15.337793204256595,-49.09461124636037,33.45455,34.0,40.0,27.0,11.0,2.27273,1970-01-01,yfinance.info/recommendations
AMTX,Basic Materials,1.559999942779541,-7.557031842202376,-584.425135858504,13.375,11.5,28.0,2.5,4.0,1.5,1970-01-01,yfinance.info/recommendations
AMWD,Consumer Cyclical,58.56999969482422,88.381269877745,50.89853224901959,64.5,64.5,72.0,57.0,2.0,1.66667,1970-01-01,yfinance.info/recommendations
AMWL,Healthcare,4.349999904632568,-26.110248661472415,-700.235614572453,8.125,8.0,10.5,6.0,4.0,,1970-01-01,yfinance.info/recommendations
AMZN,Consumer Cyclical,230.27999877929688,65.92176509396792,-71.37321285243357,295.53116,300.0,360.0,245.0,60.0,1.32836,1970-01-01,yfinance.info/recommendations
AN,Consumer Cyclical,219.6699981689453,70.55087749464855,-67.88324391918609,239.18182,235.0,300.0,200.0,11.0,2.07692,1970-01-01,yfinance.info/recommendations
ANDE,Consumer Defensive,52.54999923706055,73.8240488051172,40.48344410451155,62.5,62.5,65.0,60.0,2.0,1.0,1970-01-01,yfinance.info/recommendations
ANET,Technology,134.38999938964844,24.706743963104145,-81.61563801226774,164.07541,167.5,185.0,140.0,24.0,1.48148,1970-01-01,yfinance.info/recommendations
ANF,Consumer Cyclical,110.12999725341795,171.71521416801738,55.92047439435316,111.22222,115.0,130.0,90.0,9.0,2.08333,1970-01-01,yfinance.info/recommendations
ANGX,Communication Services,5.21999979019165,-3.5243224761593135,-167.5157589619351,14.0,14.0,14.0,14.0,1.0,,1970-01-01,yfinance.info/recommendations
ANRO,Healthcare,14.68000030517578,-10.593792955345656,-172.16480064793026,29.25,26.0,50.0,13.0,8.0,,1970-01-01,yfinance.info/recommendations
ANTX,Healthcare,1.190000057220459,0.0,-100.0,1.0,1.0,1.0,1.0,1.0,3.0,1970-01-01,yfinance.info/recommendations
AON,Financial Services,347.3999938964844,130.30049247865648,-62.49266126427094,400.5,406.0,449.0,325.0,18.0,2.04762,1970-01-01,yfinance.info/recommendations
AOS,Industrials,68.58000183105469,36.52022894574056,-46.74799071060492,78.5,76.0,100.0,62.0,10.0,2.53846,1970-01-01,yfinance.info/recommendations
APA,Energy,25.950000762939453,76.20820199410574,193.6732167767125,26.0,25.0,40.0,16.0,28.0,2.89655,1970-01-01,yfinance.info/recommendations
APD,Basic Materials,243.72999572753903,-83.80802228312548,-134.38560035787012,304.1905,304.0,340.0,255.0,21.0,1.86957,1970-01-01,yfinance.info/recommendations
APG,Industrials,40.400001525878906,6.559089697239348,-83.76463007547706,42.5,42.5,45.0,40.0,10.0,1.4,1970-01-01,yfinance.info/recommendations
APGE,Healthcare,76.52999877929688,-24.3547730995338,-131.82382528159968,97.08333,95.5,116.0,70.0,12.0,1.07692,1970-01-01,yfinance.info/recommendations
APH,Technology,139.08999633789062,25.36636100493517,-81.76262731123178,148.59721,150.0,165.0,115.0,18.0,1.77778,1970-01-01,yfinance.info/recommendations
APLD,Technology,30.76000022888184,-6.638079537247812,-121.58023240524898,43.7,42.5,56.0,39.0,10.0,1.2,1970-01-01,yfinance.info/recommendations
APO,Financial Services,150.3300018310547,12.202979547128722,-91.88253881560993,161.25,161.5,186.0,136.0,16.0,1.73684,1970-01-01,yfinance.info/recommendations
APOG,Industrials,40.20000076293945,52.57321834626576,30.779147633084698,52.0,48.0,61.0,47.0,3.0,,1970-01-01,yfinance.info/recommendations
APP,Communication Services,716.97998046875,5.873558036080351,-99.18079190548106,731.375,750.0,860.0,458.0,24.0,1.7037,1970-01-01,yfinance.info/recommendations
APVO,Healthcare,1.159999966621399,0.0,-100.0,21.0,21.0,21.0,21.0,1.0,1.0,1970-01-01,yfinance.info/recommendations
APYX,Healthcare,3.990000009536743,-1.6046354353671755,-140.21642685543455,6.0,5.0,8.0,5.0,3.0,,1970-01-01,yfinance.info/recommendations
AQB,Consumer Defensive,0.9539999961853028,-56.544186214846405,-6027.063568233327,,,,,,,,yfinance.info/recommendations
AQMS,Industrials,7.010000228881836,-41.218159992904994,-687.9908508858879,12.0,12.0,12.0,12.0,1.0,,1970-01-01,yfinance.info/recommendations
AQST,Healthcare,6.320000171661377,-2.171078238173512,-134.35250283549894,10.3,10.5,15.0,8.0,10.0,1.3,1970-01-01,yfinance.info/recommendations
AR,Energy,35.95000076293945,25.9093759241644,-27.92941481416002,43.5,44.5,55.0,26.0,20.0,1.80952,1970-01-01,yfinance.info/recommendations
ARAI,Technology,3.809999942779541,0.0,-100.0,12.0,12.0,12.0,12.0,1.0,,1970-01-01,yfinance.info/recommendations
ARDT,Healthcare,8.729999542236328,20.006547771065627,129.17008957758355,13.95833,13.75,17.0,10.0,12.0,,1970-01-01,yfinance.info/recommendations
ARDX,Healthcare,5.900000095367432,-1.6346227606073542,-127.70547007093829,11.6,11.0,16.0,8.0,10.0,,1970-01-01,yfinance.info/recommendations
ARE,Real Estate,45.56999969482422,0.0,-100.0,63.08333,63.0,91.0,48.0,12.0,2.5,1970-01-01,yfinance.info/recommendations
AREB,Consumer Cyclical,1.0499999523162842,0.0,-100.0,,,,,,,,yfinance.info/recommendations
AREC,Basic Materials,2.700000047683716,0.0,-100.0,6.75,6.5,9.0,5.0,4.0,1.25,1970-01-01,yfinance.info/recommendations
ARES,Financial Services,176.8699951171875,22.27940136318821,-87.40351558870869,185.5625,187.5,214.0,156.0,16.0,2.17647,1970-01-01,yfinance.info/recommendations
ARKR,Consumer Cyclical,7.179999828338623,-19.245340387255077,-368.04095887712924,,,,,,,,yfinance.info/recommendations
ARL,Real Estate,15.81999969482422,0.0,-100.0,,,,,,,,yfinance.info/recommendations
ARLO,Industrials,14.43000030517578,2.123481614365674,-85.28425800792242,23.2,22.0,26.0,22.0,5.0,,1970-01-01,yfinance.info/recommendations
ARMK,Industrials,37.61000061035156,28.115609968670622,-25.244324614734943,44.53333,45.0,49.0,32.5,15.0,1.53333,1970-01-01,yfinance.info/recommendations
ARRY,Technology,9.15999984741211,0.4845501658892342,-94.71015093929147,10.932,10.0,15.0,8.0,25.0,2.0,1970-01-01,yfinance.info/recommendations
ARTL,Healthcare,1.940000057220459,0.0,-100.0,,,,,,,1970-01-01,yfinance.info/recommendations
ARTV,Healthcare,3.140000104904175,-23.148850949133728,-837.2245278902682,17.0,18.0,23.0,10.0,5.0,,1970-01-01,yfinance.info/recommendations
ARW,Technology,115.1999969482422,46.7734555136815,-59.39804101323355,108.25,107.5,124.0,94.0,4.0,,1970-01-01,yfinance.info/recommendations
ARWR,Healthcare,70.81999969482422,6.236025574484165,-91.19454165298463,61.58333,64.0,85.0,17.0,12.0,1.76923,1970-01-01,yfinance.info/recommendations
ASAN,Technology,14.710000038146973,-2.342878193333805,-115.92711208197211,15.76154,16.0,22.0,10.0,13.0,2.93333,1970-01-01,yfinance.info/recommendations
ASBP,Healthcare,0.1049999967217445,0.0,-100.0,,,,,,,,yfinance.info/recommendations
ASGN,Technology,47.619998931884766,84.43914554470177,77.31866324794085,48.66667,46.5,60.0,41.0,6.0,2.71429,1970-01-01,yfinance.info/recommendations
